法令種別,法令番号,法令名,法令名読み,旧法令名,公布日,改正法令名,改正法令番号,改正法令公布日,施行日,施行日備考,法令ID,本文URL,未施行,所管課確認中
勅令,明治十九年勅令第五十一号,明治十九年勅令第五十一号（本初子午線経度計算方及標準時ノ件）,ほんしょしごせんけいどけいさんかたおよびひょうじゅんじのけん,,明治十九年七月十三日,平成２７年８月１日（基準日）現在のデータ,,,,,119IO0000000051,https://elaws.e-gov.go.jp/document?lawid=119IO0000000051_20150801_000000000000000,,
法律,昭和二十三年法律第百二十一号,日本学術会議法,にほんがくじゅつかいぎほう,,昭和二十三年七月十日,平成２７年８月１日（基準日）現在のデータ,,,,,323AC0000000121,https://elaws.e-gov.go.jp/document?lawid=323AC0000000121_20150801_000000000000000,,
法律,昭和二十三年法律第百七十八号,国民の祝日に関する法律,こくみんのしゅくじつにかんするほうりつ,,昭和二十三年七月二十日,国民の祝日に関する法律の一部を改正する法律,平成三十年法律第五十七号,平成三十年六月二十日,令和二年一月一日,,323AC1000000178,https://elaws.e-gov.go.jp/document?lawid=323AC1000000178_20200101_430AC0000000057,,
法律,昭和二十五年法律第二百十四号,文化財保護法,ぶんかざいほごほう,,昭和二十五年五月三十日,地域の自主性及び自立性を高めるための改革の推進を図るための関係法律の整備に関する法律,令和二年法律第四十一号,令和二年六月十日,令和二年六月十日,,325AC1000000214,https://elaws.e-gov.go.jp/document?lawid=325AC1000000214_20200610_502AC0000000041,,
規則,昭和二十五年文化財保護委員会規則第七号,国宝又は重要文化財指定書規則,こくほうまたはじゅうようぶんかざいしていしょきそく,,昭和二十五年十二月二十九日,平成２８年１０月１日（基準日）現在のデータ,,,,,325R00000011007,https://elaws.e-gov.go.jp/document?lawid=325R00000011007_20161001_000000000000000,,
法律,昭和二十六年法律第百二十五号,文化功労者年金法,ぶんかこうろうしゃねんきんほう,,昭和二十六年四月三日,平成２７年８月１日（基準日）現在のデータ,,,,,326AC0000000125,https://elaws.e-gov.go.jp/document?lawid=326AC0000000125_20150801_000000000000000,,
法律,昭和二十六年法律第百二十六号,宗教法人法,しゅうきょうほうじんほう,,昭和二十六年四月三日,会社法の一部を改正する法律の施行に伴う関係法律の整備等に関する法律,令和元年法律第七十一号,令和元年十二月十一日,令和三年二月十五日,,326AC0000000126,https://elaws.e-gov.go.jp/document?lawid=326AC0000000126_20210215_501AC0000000071,,
法律,昭和二十六年法律第百二十六号,宗教法人法,しゅうきょうほうじんほう,,昭和二十六年四月三日,会社法の一部を改正する法律の施行に伴う関係法律の整備等に関する法律,令和元年法律第七十一号,令和元年十二月十一日,令和五年六月十日,会社法改正法附則第一条ただし書に規定する規定の施行の日,326AC0000000126,https://elaws.e-gov.go.jp/document?lawid=326AC0000000126_20230610_501AC0000000071,○,
法律,昭和二十六年法律第二百二十七号,民間学術研究機関の助成に関する法律,みんかんがくじゅつけんきゅうきかんのじょせいにかんするほうりつ,,昭和二十六年六月十一日,平成２７年８月１日（基準日）現在のデータ,,,,,326AC1000000227,https://elaws.e-gov.go.jp/document?lawid=326AC1000000227_20150801_000000000000000,,
政令,昭和二十六年政令第百四十七号,文化功労者年金法施行令,ぶんかこうろうしゃねんきんほうせこうれい,,昭和二十六年五月十日,平成２７年８月１日（基準日）現在のデータ,,,,,326CO0000000147,https://elaws.e-gov.go.jp/document?lawid=326CO0000000147_20150801_000000000000000,,
府省令,昭和二十六年文部省令第九号,文化功労者年金法施行規則,ぶんかこうろうしゃねんきんほうせこうきそく,,昭和二十六年五月十日,押印を求める手続の見直し等のための文部科学省関係省令の一部を改正する省令,令和二年文部科学省令第四十四号,令和二年十二月二十八日,令和三年一月一日,,326M50000080009,https://elaws.e-gov.go.jp/document?lawid=326M50000080009_20210101_502M60000080044,,
府省令,昭和二十六年文部省令第二十号,民間学術研究機関の助成に関する法律施行規則,みんかんがくじゅつけんきゅうきかんのじょせいにかんするほうりつせこうきそく,,昭和二十六年八月三十一日,押印を求める手続の見直し等のための文部科学省関係省令の一部を改正する省令,令和二年文部科学省令第四十四号,令和二年十二月二十八日,令和三年一月一日,,326M50000080020,https://elaws.e-gov.go.jp/document?lawid=326M50000080020_20210101_502M60000080044,,
府省令,昭和二十六年文化財保護委員会規則第一号,国宝、重要文化財又は重要有形民俗文化財の管理に関する届出書等に関する規則,こくほう、じゅうようぶんかざいまたはじゅうようゆうけいみんぞくぶんかざいのかんりにかんするとどけでしょとうにかんするきそく,,昭和二十六年一月二十三日,国宝、重要文化財又は重要有形民俗文化財の管理に関する届出書等に関する規則等の一部を改正する省令,平成三十一年文部科学省令第七号,平成三十一年三月二十九日,平成三十一年四月一日,,326R00000011001,https://elaws.e-gov.go.jp/document?lawid=326R00000011001_20190401_431M60000080007,,
規則,昭和二十六年文化財保護委員会規則第三号,国宝、重要文化財又は重要有形民俗文化財売渡申出書に関する規則,こくほう、じゅうようぶんかざいまたはじゅうようゆうけいみんぞくぶんかざいうりわたしもうしでしょにかんするきそく,,昭和二十六年一月三十一日,平成２８年１０月１日（基準日）現在のデータ,,,,,326R00000011003,https://elaws.e-gov.go.jp/document?lawid=326R00000011003_20161001_000000000000000,,
規則,昭和二十六年文化財保護委員会規則第七号,国宝、重要文化財又は重要有形民俗文化財出品給与金支給基準規則,こくほう、じゅうようぶんかざいまたはじゅうようゆうけいみんぞくぶんかざいしゅっぴんきゅうよきんしきゅうきじゅんきそく,,昭和二十六年三月八日,平成２８年１０月１日（基準日）現在のデータ,,,,,326R00000011007,https://elaws.e-gov.go.jp/document?lawid=326R00000011007_20161001_000000000000000,,
