法令種別,法令番号,法令名,法令名読み,旧法令名,公布日,改正法令名,改正法令番号,改正法令公布日,施行日,施行日備考,法令ID,本文URL,未施行,所管課確認中
法律,昭和二十四年法律第七十号,鉱山保安法,こうざんほあんほう,,昭和二十四年五月十六日,行政不服審査法の施行に伴う関係法律の整備等に関する法律の一部を改正する法律,平成二十六年法律第六十九号,平成二十六年六月十三日,平成二十八年四月一日,,324AC0000000070,https://elaws.e-gov.go.jp/document?lawid=324AC0000000070_20160401_426AC0000000069,,
法律,昭和二十五年法律第二百九十号,鉱業法施行法　抄,こうぎょうほうせこうほうしょう,,昭和二十五年十二月二十日,平成２７年８月１日（基準日）現在のデータ,,,,,325AC0000000290,https://elaws.e-gov.go.jp/document?lawid=325AC0000000290_20150801_000000000000000,,
法律,昭和二十五年法律第二百九十二号,鉱業等に係る土地利用の調整手続等に関する法律,こうぎょうとうにかかるとちりようのちょうせいてつづきとうにかんするほうりつ,,昭和二十五年十二月二十日,自然環境保全法の一部を改正する法律,平成三十一年法律第二十号,平成三十一年四月二十六日,令和二年四月一日,,325AC0000000292,https://elaws.e-gov.go.jp/document?lawid=325AC0000000292_20200401_431AC0000000020,,
法律,昭和二十五年法律第二百九十二号,鉱業等に係る土地利用の調整手続等に関する法律,こうぎょうとうにかかるとちりようのちょうせいてつづきとうにかんするほうりつ,,昭和二十五年十二月二十日,外国弁護士による法律事務の取扱いに関する特別措置法の一部を改正する法律,令和二年法律第三十三号,令和二年五月二十九日,令和四年十一月二十八日,公布の日から起算して二年六月を超えない範囲内において政令で定める日,325AC0000000292,https://elaws.e-gov.go.jp/document?lawid=325AC0000000292_20221128_502AC0000000033,○,
法律,昭和二十五年法律第二百八十九号,鉱業法,こうぎょうほう,,昭和二十五年十二月二十日,民法の一部を改正する法律の施行に伴う関係法律の整備等に関する法律,平成二十九年法律第四十五号,平成二十九年六月二日,令和二年四月一日,,325AC0000000289,https://elaws.e-gov.go.jp/document?lawid=325AC0000000289_20200401_429AC0000000045,,
法律,昭和二十五年法律第二百九十一号,採石法,さいせきほう,,昭和二十五年十二月二十日,農業経営基盤強化促進法等の一部を改正する法律,平成三十年法律第二十三号,平成三十年五月十八日,平成三十年十一月十六日,,325AC0000000291,https://elaws.e-gov.go.jp/document?lawid=325AC0000000291_20181116_430AC0000000023,,
政令,昭和二十六年政令第十五号,鉱業登録令,こうぎょうとうろくれい,,昭和二十六年一月二十九日,民法の一部を改正する法律及び民法の一部を改正する法律の施行に伴う関係法律の整備等に関する法律の施行に伴う関係政令の整備に関する政令,平成三十年政令第百八十三号,平成三十年六月六日,令和二年四月一日,,326CO0000000015,https://elaws.e-gov.go.jp/document?lawid=326CO0000000015_20200401_430CO0000000183,,○
政令,昭和二十六年政令第十六号,鉱業法関係手数料令,こうぎょうほうかんけいてすうりょうれい,,昭和二十六年一月二十九日,情報通信技術の活用による行政手続等に係る関係者の利便性の向上並びに行政運営の簡素化及び効率化を図るための行政手続等における情報通信の技術の利用に関する法律等の一部を改正する法律の施行に伴う関係政令の整備等に関する政令,令和元年政令第百八十三号,令和元年十二月十三日,令和元年十二月十六日,,326CO0000000016,https://elaws.e-gov.go.jp/document?lawid=326CO0000000016_20191216_501CO0000000183,,○
政令,昭和二十六年政令第百九十六号,鉱業等に係る土地利用の調整手続等に関する法律第四十七条の規定により鑑定人が受ける鑑定料の額を定める政令,こうぎょうとうにかかるとちりようのちょうせいてつづきとうにかんするほうりつだいよんじゅうななじょうのきていによりかんていにんがうけるかんていりょうのがくをさだめるせいれい,,昭和二十六年六月五日,平成２７年８月１日（基準日）現在のデータ,,,,,326CO0000000196,https://elaws.e-gov.go.jp/document?lawid=326CO0000000196_20150801_000000000000000,,
府省令,昭和二十六年通商産業省令第二号,鉱業法施行規則,こうぎょうほうせこうきそく,,昭和二十六年一月二十七日,押印を求める手続の見直し等のための経済産業省関係省令の一部を改正する省令,令和二年経済産業省令第九十二号,令和二年十二月二十八日,令和二年十二月二十八日,,326M50000400002,https://elaws.e-gov.go.jp/document?lawid=326M50000400002_20201228_502M60000400092,,
府省令,昭和二十六年通商産業省令第四号,鉱業登録令施行規則,こうぎょうとうろくれいせこうきそく,,昭和二十六年一月三十一日,押印を求める手続の見直し等のための経済産業省関係省令の一部を改正する省令,令和二年経済産業省令第九十二号,令和二年十二月二十八日,令和二年十二月二十八日,,326M50000400004,https://elaws.e-gov.go.jp/document?lawid=326M50000400004_20201228_502M60000400092,,
府省令,昭和二十六年通商産業省令第六号,採石法施行規則,さいせきほうせこうきそく,,昭和二十六年一月三十一日,押印を求める手続の見直し等のための経済産業省関係省令の一部を改正する省令,令和二年経済産業省令第九十二号,令和二年十二月二十八日,令和二年十二月二十八日,,326M50000400006,https://elaws.e-gov.go.jp/document?lawid=326M50000400006_20201228_502M60000400092,,
規則,昭和二十六年土地調整委員会規則第二号,鉱業等に係る土地利用の調整手続等に関する法律の施行等に関する規則,こうぎょうとうにかかるとちりようのちょうせいてつづきとうにかんするほうりつのせこうとうにかんするきそく,,昭和二十六年五月三十一日,平成２８年１０月１日（基準日）現在のデータ,,,,,326R00000004002,https://elaws.e-gov.go.jp/document?lawid=326R00000004002_20161001_000000000000000,,
政令,昭和二十七年政令第百五号,鹿児島県大島郡十島村に関する鉱業法等の適用及びこれに伴う経過措置に関する政令　抄,かごしまけんおおしまぐんじゅうしまむらにかんするこうぎょうほうとうのてきようおよびこれにともなうけいかそちにかんするせいれい　しょう,,昭和二十七年四月十一日,平成２７年８月１日（基準日）現在のデータ,,,,,327CO0000000105,https://elaws.e-gov.go.jp/document?lawid=327CO0000000105_20150801_000000000000000,,
政令,昭和二十八年政令第四百十二号,奄美群島の復帰に伴う通商産業省関係の法律の適用の暫定措置等に関する政令　抄,あまみぐんとうのふっきにともなうつうしょうさんぎょうしょうかんけいのほうりつのてきようのざんていそちとうにかんするせいれい　しょう,,昭和二十八年十二月二十四日,平成２７年８月１日（基準日）現在のデータ,,,,,328CO0000000412,https://elaws.e-gov.go.jp/document?lawid=328CO0000000412_20150801_000000000000000,,
府省令,昭和二十八年通商産業省令第三十八号,鉱業法の一部を改正する法律の施行に伴う金属鉱山等保安規則等の特別措置に関する省令　抄,こうぎょうほうのいちぶをかいせいするほうりつのせこうにともなうきんぞくこうざんとうほあんきそくとうのとくべつそちにかんするしょうれい　しょう,,昭和二十八年八月七日,平成２８年１０月１日（基準日）現在のデータ,,,,,328M50000400038,https://elaws.e-gov.go.jp/document?lawid=328M50000400038_20161001_000000000000000,,
府省令,昭和二十八年通商産業省令第六十一号,奄美群島の復帰に伴う通商産業省関係の法律の適用の暫定措置等に関する政令の施行に伴う鉱業権の設定の出願の手続等に関する省令,あまみぐんとうのふっきにともなうつうしょうさんぎょうしょうかんけいのほうりつのてきようのざんていそちとうにかんするせいれいのせこうにともなうこうぎょうけんのせっていのしゅつがんのてつづきとうにかんするしょうれい,,昭和二十八年十二月二十五日,平成２８年１０月１日（基準日）現在のデータ,,,,,328M50000400061,https://elaws.e-gov.go.jp/document?lawid=328M50000400061_20161001_000000000000000,,
府省令,昭和二十八年通商産業省令第六十二号,奄美群島の復帰に伴う通商産業省関係の法律の適用の暫定措置等に関する政令の施行に伴う金属鉱山等保安規則等の特別措置に関する省令　抄,あまみぐんとうのふっきにともなうつうしょうさんぎょうしょうかんけいのほうりつのてきようのざんていそちとうにかんするせいれいのせこうにともなうきんぞくこうざんとうほあんきそくとうのとくべつそちにかんするしょうれい　しょう,,昭和二十八年十二月二十五日,平成２８年１０月１日（基準日）現在のデータ,,,,,328M50000400062,https://elaws.e-gov.go.jp/document?lawid=328M50000400062_20161001_000000000000000,,
政令,昭和三十年政令第二十七号,鉱害賠償登録令,こうがいばいしょうとうろくれい,,昭和三十年三月七日,情報通信技術の活用による行政手続等に係る関係者の利便性の向上並びに行政運営の簡素化及び効率化を図るための行政手続等における情報通信の技術の利用に関する法律等の一部を改正する法律の施行に伴う関係政令の整備等に関する政令,令和元年政令第百八十三号,令和元年十二月十三日,令和元年十二月十六日,,330CO0000000027,https://elaws.e-gov.go.jp/document?lawid=330CO0000000027_20191216_501CO0000000183,,
府省令,昭和三十年法務省令第四十七号,鉱害賠償登録規則,こうがいばいしょうとうろくきそく,,昭和三十年三月七日,不動産登記規則等の一部を改正する省令,令和二年法務省令第八号,令和二年三月三十日,令和二年三月三十日,,330M50000010047,https://elaws.e-gov.go.jp/document?lawid=330M50000010047_20200330_502M60000010008,,
府省令,昭和三十年通商産業省令第六十八号,鉱業法の一部を改正する法律の施行に伴う鉱業権の設定の手続等に関する省令,こうぎょうほうのいちぶをかいせいするほうりつのせこうにともなうこうぎょうけんのせっていのてつづきとうにかんするしょうれい,,昭和三十年十二月二十七日,平成２８年１０月１日（基準日）現在のデータ,,,,,330M50000400068,https://elaws.e-gov.go.jp/document?lawid=330M50000400068_20161001_000000000000000,,
政令,昭和三十二年政令第十二号,鉱害賠償供託金配当令,こうがいばいしょうきょうたくきんはいとうれい,,昭和三十二年二月二日,平成２７年８月１日（基準日）現在のデータ,,,,,332CO0000000012,https://elaws.e-gov.go.jp/document?lawid=332CO0000000012_20150801_000000000000000,,
府省令,昭和三十二年法務省・通商産業省令第一号,鉱害賠償供託金配当令施行規則,こうがいばいしょうきょうたくきんはいとうれいせこうきそく,,昭和三十二年二月二日,鉱害賠償供託金配当令施行規則の一部を改正する省令,令和二年法務省・経済産業省令第二号,令和二年十二月二十五日,令和二年十二月二十五日,,332M50000410001,https://elaws.e-gov.go.jp/document?lawid=332M50000410001_20201225_502M60000410002,,
府省令,昭和三十三年通商産業省令第八十六号,水洗炭業に関する法律施行規則,すいせんたんぎょうにかんするほうりつせこうきそく,,昭和三十三年八月四日,押印を求める手続の見直し等のための経済産業省関係省令の一部を改正する省令,令和二年経済産業省令第九十二号,令和二年十二月二十八日,令和二年十二月二十八日,,333M50000400086,https://elaws.e-gov.go.jp/document?lawid=333M50000400086_20201228_502M60000400092,,
府省令,昭和三十三年法務省・通商産業省令第一号,水洗炭業者保証金規則,すいせんたんぎょうしゃほしょうきんきそく,,昭和三十三年八月四日,水洗炭業者保証金規則の一部を改正する省令,令和二年法務省・経済産業省令第一号,令和二年十二月二十五日,令和二年十二月二十五日,,333M50000410001,https://elaws.e-gov.go.jp/document?lawid=333M50000410001_20201225_502M60000410001,,
法律,昭和四十三年法律第七十四号,砂利採取法,じゃりさいしゅほう,,昭和四十三年五月三十日,行政不服審査法の施行に伴う関係法律の整備等に関する法律の一部を改正する法律,平成二十六年法律第六十九号,平成二十六年六月十三日,平成二十八年四月一日,,343AC0000000074,https://elaws.e-gov.go.jp/document?lawid=343AC0000000074_20160401_426AC0000000069,,
政令,昭和四十三年政令第二百四十一号,砂利採取法施行令,じゃりさいしゅほうせこうれい,,昭和四十三年七月十五日,情報通信技術の活用による行政手続等に係る関係者の利便性の向上並びに行政運営の簡素化及び効率化を図るための行政手続等における情報通信の技術の利用に関する法律等の一部を改正する法律の施行に伴う関係政令の整備等に関する政令,令和元年政令第百八十三号,令和元年十二月十三日,令和元年十二月十六日,,343CO0000000241,https://elaws.e-gov.go.jp/document?lawid=343CO0000000241_20191216_501CO0000000183,,
府省令,昭和四十三年通商産業省令第八十号,砂利採取業者の登録等に関する規則,じゃりさいしゅぎょうしゃのとうろくとうにかんするきそく,,昭和四十三年七月十八日,平成２８年１０月１日（基準日）現在のデータ,,,,,343M50000400080,https://elaws.e-gov.go.jp/document?lawid=343M50000400080_20161001_000000000000000,,
府省令,昭和四十三年通商産業省・建設省令第一号,砂利の採取計画等に関する規則,じゃりのさいしゅけいかくとうにかんするきそく,,昭和四十三年八月二日,砂利の採取計画等に関する規則の一部を改正する省令,平成三十一年経済産業省・国土交通省令第二号,平成三十一年三月二十九日,平成三十一年三月二十九日,,343M50004400001,https://elaws.e-gov.go.jp/document?lawid=343M50004400001_20190329_431M60000c00002,,
政令,昭和四十六年政令第二百七十九号,採石法施行令,さいせきほうせこうれい,,昭和四十六年八月三十日,情報通信技術の活用による行政手続等に係る関係者の利便性の向上並びに行政運営の簡素化及び効率化を図るための行政手続等における情報通信の技術の利用に関する法律等の一部を改正する法律の施行に伴う関係政令の整備等に関する政令,令和元年政令第百八十三号,令和元年十二月十三日,令和元年十二月十六日,,346CO0000000279,https://elaws.e-gov.go.jp/document?lawid=346CO0000000279_20191216_501CO0000000183,,
法律,昭和四十七年法律第百五号,石油パイプライン事業法,せきゆぱいぷらいんじぎょうほう,,昭和四十七年六月二十六日,行政不服審査法の施行に伴う関係法律の整備等に関する法律の一部を改正する法律,平成二十六年法律第六十九号,平成二十六年六月十三日,平成二十八年四月一日,,347AC0000000105,https://elaws.e-gov.go.jp/document?lawid=347AC0000000105_20160401_426AC0000000069,,
政令,昭和四十七年政令第九十三号,沖縄の復帰に伴う鉱業等に係る土地利用の調整手続等に関する法律の適用の特別措置に関する政令,おきなわのふっきにともなうこうぎょうとうにかかるとちりようのちょうせいてつづきとうにかんするほうりつのてきようのとくべつそちにかんするせいれい,,昭和四十七年四月二十七日,平成２７年８月１日（基準日）現在のデータ,,,,,347CO0000000093,https://elaws.e-gov.go.jp/document?lawid=347CO0000000093_20150801_000000000000000,,
政令,昭和四十七年政令第百十号,沖縄の復帰に伴う通商産業省関係法令の適用の特別措置等に関する政令,おきなわのふっきにともなうつうしょうさんぎょうしょうかんけいほうれいのてきようのとくべつそちとうにかんするせいれい　しょう,,昭和四十七年四月二十八日,平成２７年８月１日（基準日）現在のデータ,,,,,347CO0000000110,https://elaws.e-gov.go.jp/document?lawid=347CO0000000110_20150801_000000000000000,,
政令,昭和四十七年政令第四百三十七号,石油パイプライン事業法施行令,せきゆぱいぷらいんじぎょうほうせこうれい,,昭和四十七年十二月二十一日,情報通信技術の活用による行政手続等に係る関係者の利便性の向上並びに行政運営の簡素化及び効率化を図るための行政手続等における情報通信の技術の利用に関する法律等の一部を改正する法律の施行に伴う関係政令の整備等に関する政令,令和元年政令第百八十三号,令和元年十二月十三日,令和元年十二月十六日,,347CO0000000437,https://elaws.e-gov.go.jp/document?lawid=347CO0000000437_20191216_501CO0000000183,,
府省令,昭和四十七年通商産業省令第五十号,沖縄の復帰に伴う公害保安関係法令の適用の特別措置等に関する省令,おきなわのふっきにともなうこうがいほあんかんけいほうれいのてきようのとくべつそちとうにかんするしょうれい,,昭和四十七年五月十三日,平成２８年１０月１日（基準日）現在のデータ,,,,,347M50000400050,https://elaws.e-gov.go.jp/document?lawid=347M50000400050_20161001_000000000000000,,
府省令,昭和四十七年通商産業省令第五十四号,沖縄の復帰に伴う鉱業関係法令の適用の特別措置等に関する省令,おきなわのふっきにともなうこうぎょうかんけいほうれいのてきようのとくべつそちとうにかんするしょうれい,,昭和四十七年五月十三日,平成２８年１０月１日（基準日）現在のデータ,,,,,347M50000400054,https://elaws.e-gov.go.jp/document?lawid=347M50000400054_20161001_000000000000000,,
府省令,昭和四十七年通商産業省・運輸省令第五号,石油パイプライン事業の業務の監督に関する省令,せきゆぱいぷらいんじぎょうのぎょうむのかんとくにかんするしょうれい,,昭和四十七年十二月二十五日,平成２８年１０月１日（基準日）現在のデータ,,,,,347M50000c00005,https://elaws.e-gov.go.jp/document?lawid=347M50000c00005_20161001_000000000000000,,
府省令,昭和四十七年通商産業省・運輸省・自治省令第一号,石油パイプライン事業の事業用施設の保安に関する省令,せきゆぱいぷらいんじぎょうのじぎょうようしせつのほあんにかんするしょうれい,,昭和四十七年十二月二十五日,石油パイプライン事業の事業用施設の工事の計画、検査等に関する省令及び石油パイプライン事業の事業用施設の保安に関する省令の一部を改正する省令,令和元年総務省・経済産業省・国土交通省令第一号,令和元年六月二十八日,令和元年七月一日,,347M50000c08001,https://elaws.e-gov.go.jp/document?lawid=347M50000c08001_20190701_501M60000c08001,,
府省令,昭和四十七年通商産業省・運輸省・建設省令第一号,石油パイプライン事業法施行規則,せきゆぱいぷらいんじぎょうほうせこうきそく,,昭和四十七年十二月二十五日,平成２８年１０月１日（基準日）現在のデータ,,,,,347M50004c00001,https://elaws.e-gov.go.jp/document?lawid=347M50004c00001_20161001_000000000000000,,
府省令,昭和四十七年通商産業省・運輸省・建設省・自治省令第一号,石油パイプライン事業の事業用施設の工事の計画、検査等に関する省令,せきゆぱいぷらいんじぎょうのじぎょうようしせつのこうじのけいかく、けんさとうにかんするしょうれい,,昭和四十七年十二月二十五日,石油パイプライン事業の事業用施設の工事の計画、検査等に関する省令及び石油パイプライン事業の事業用施設の保安に関する省令の一部を改正する省令,令和元年総務省・経済産業省・国土交通省令第一号,令和元年六月二十八日,令和元年七月一日,,347M50004c08001,https://elaws.e-gov.go.jp/document?lawid=347M50004c08001_20190701_501M60000c08001,,
府省令,昭和四十七年通商産業省・運輸省・建設省・自治省令第二号,石油パイプライン事業の事業用施設の技術上の基準を定める省令,せきゆぱいぷらいんじぎょうのじぎょうようしせつのぎじゅつじょうのきじゅんをさだめるしょうれい,,昭和四十七年十二月二十五日,石油パイプライン事業の事業用施設の技術上の基準を定める省令の一部を改正する省令,令和元年総務省・経済産業省・国土交通省令第二号,令和元年八月二十七日,令和元年八月二十七日,,347M50004c08002,https://elaws.e-gov.go.jp/document?lawid=347M50004c08002_20190827_501M60000c08002,,
法律,昭和四十八年法律第二十六号,金属鉱業等鉱害対策特別措置法,きんぞくこうぎょうとうこうがいたいさくとくべつそちほう,,昭和四十八年五月一日,行政不服審査法の施行に伴う関係法律の整備等に関する法律,平成二十六年法律第六十九号,平成二十六年六月十三日,平成二十八年四月一日,,348AC0000000026,https://elaws.e-gov.go.jp/document?lawid=348AC0000000026_20160401_426AC0000000069,,
法律,昭和四十八年法律第百二十二号,石油需給適正化法,せきゆじゅきゅうてきせいかほう,,昭和四十八年十二月二十二日,行政不服審査法の施行に伴う関係法律の整備等に関する法律,平成二十六年法律第六十九号,平成二十六年六月十三日,平成二十八年四月一日,,348AC0000000122,https://elaws.e-gov.go.jp/document?lawid=348AC0000000122_20160401_426AC0000000069,,
府省令,昭和四十八年通商産業省令第六十号,金属鉱業等鉱害対策特別措置法施行規則,きんぞくこうぎょうとうこうがいたいさくとくべつそちほうせこうきそく,,昭和四十八年六月三十日,平成２８年１０月１日（基準日）現在のデータ,,,,,348M50000400060,https://elaws.e-gov.go.jp/document?lawid=348M50000400060_20161001_000000000000000,,
政令,昭和四十九年政令第十五号,石油需給適正化法施行令,せきゆじゅきゅうてきせいかほうせこうれい,,昭和四十九年一月二十三日,平成２７年８月１日（基準日）現在のデータ,,,,,349CO0000000015,https://elaws.e-gov.go.jp/document?lawid=349CO0000000015_20150801_000000000000000,,
府省令,昭和四十九年通商産業省令第一号,石油需給適正化法施行規則,せきゆじゅきゅうてきせいかほうせこうきそく,,昭和四十九年一月十一日,平成２８年１０月１日（基準日）現在のデータ,,,,,349M50000400001,https://elaws.e-gov.go.jp/document?lawid=349M50000400001_20161001_000000000000000,,
府省令,昭和四十九年大蔵省・厚生省・農林省・通商産業省・運輸省・郵政省・建設省令第一号,石油需給適正化法に基づく石油の使用の制限に関する省令,せきゆじゅきゅうてきせいかほうにもとづくせきゆのしようのせいげんにかんするしょうれい,,昭和四十九年一月二十五日,平成２８年１０月１日（基準日）現在のデータ,,,,,349M50015d40001,https://elaws.e-gov.go.jp/document?lawid=349M50015d40001_20161001_000000000000000,,
法律,昭和五十年法律第九十六号,石油の備蓄の確保等に関する法律,せきゆのびちくのかくほとうにかんするほうりつ,,昭和五十年十二月二十七日,平成２７年８月１日（基準日）現在のデータ,,,,,350AC0000000096,https://elaws.e-gov.go.jp/document?lawid=350AC0000000096_20150801_000000000000000,,
法律,昭和五十三年法律第八十一号,日本国と大韓民国との間の両国に隣接する大陸棚の南部の共同開発に関する協定の実施に伴う石油及び可燃性天然ガス資源の開発に関する特別措置法,にほんこくとだいかんみんこくとのあいだのりょうこくにりんせつするたいりくだなのなんぶのきょうどうかいはつにかんするきょうていのじっしにともなうせきゆおよびかねんせいてんねんがすしげんのかいはつにかんするとくべつそちほう,,昭和五十三年六月二十一日,行政機関等の保有する個人情報の適正かつ効果的な活用による新たな産業の創出並びに活力ある経済社会及び豊かな国民生活の実現に資するための関係法律の整備に関する法律,平成二十八年法律第五十一号,平成二十八年五月二十七日,平成二十九年五月三十日,,353AC0000000081,https://elaws.e-gov.go.jp/document?lawid=353AC0000000081_20170530_428AC0000000051,,
