法令種別,法令番号,法令名,法令名読み,旧法令名,公布日,改正法令名,改正法令番号,改正法令公布日,施行日,施行日備考,法令ID,本文URL,未施行,所管課確認中
法律,昭和二十四年法律第百八十九号,屋外広告物法,おくがいこうこくぶつほう,,昭和二十四年六月三日,都市再生特別措置法等の一部を改正する法律,令和二年法律第四十三号,令和二年六月十日,令和二年九月七日,,324AC0000000189,https://elaws.e-gov.go.jp/document?lawid=324AC0000000189_20200907_502AC0000000043,,○
法律,昭和二十四年法律第二百十九号,広島平和記念都市建設法,ひろしまへいわきねんとしけんせつほう,,昭和二十四年八月六日,平成２７年８月１日（基準日）現在のデータ,,,,,324AC1000000219,https://elaws.e-gov.go.jp/document?lawid=324AC1000000219_20150801_000000000000000,,
法律,昭和二十四年法律第二百二十号,長崎国際文化都市建設法,ながさきこくさいぶんかとしけんせつほう,,昭和二十四年八月九日,平成２７年８月１日（基準日）現在のデータ,,,,,324AC1000000220,https://elaws.e-gov.go.jp/document?lawid=324AC1000000220_20150801_000000000000000,,
法律,昭和二十五年法律第二百二十号,旧軍港市転換法,きゅうぐんこうしてんかんほう,,昭和二十五年六月二十八日,平成２７年８月１日（基準日）現在のデータ,,,,,325AC1000000220,https://elaws.e-gov.go.jp/document?lawid=325AC1000000220_20150801_000000000000000,,
法律,昭和二十五年法律第二百二十一号,別府国際観光温泉文化都市建設法,べっぷこくさいかんこうおんせんぶんかとしけんせつほう,,昭和二十五年七月十八日,平成２７年８月１日（基準日）現在のデータ,,,,,325AC1000000221,https://elaws.e-gov.go.jp/document?lawid=325AC1000000221_20150801_000000000000000,,
法律,昭和二十五年法律第二百二十二号,伊東国際観光温泉文化都市建設法,いとうこくさいかんこうおんせんぶんかとしけんせつほう,,昭和二十五年七月二十五日,平成２７年８月１日（基準日）現在のデータ,,,,,325AC1000000222,https://elaws.e-gov.go.jp/document?lawid=325AC1000000222_20150801_000000000000000,,
法律,昭和二十五年法律第二百三十三号,熱海国際観光温泉文化都市建設法,あたみこくさいかんこうおんせんぶんかとしけんせつほう,,昭和二十五年八月一日,平成２７年８月１日（基準日）現在のデータ,,,,,325AC1000000233,https://elaws.e-gov.go.jp/document?lawid=325AC1000000233_20150801_000000000000000,,
法律,昭和二十五年法律第二百四十八号,横浜国際港都建設法,よこはまこくさいみなとみやこけんせつほう,,昭和二十五年十月二十一日,平成２７年８月１日（基準日）現在のデータ,,,,,325AC1000000248,https://elaws.e-gov.go.jp/document?lawid=325AC1000000248_20150801_000000000000000,,
法律,昭和二十五年法律第二百四十九号,神戸国際港都建設法,こうべこくさいみなとみやこけんせつほう,,昭和二十五年十月二十一日,平成２７年８月１日（基準日）現在のデータ,,,,,325AC1000000249,https://elaws.e-gov.go.jp/document?lawid=325AC1000000249_20150801_000000000000000,,
法律,昭和二十五年法律第二百五十号,奈良国際文化観光都市建設法,ならこくさいぶんかかんこうとしけんせつほう,,昭和二十五年十月二十一日,平成２７年８月１日（基準日）現在のデータ,,,,,325AC1000000250,https://elaws.e-gov.go.jp/document?lawid=325AC1000000250_20150801_000000000000000,,
法律,昭和二十五年法律第二百五十一号,京都国際文化観光都市建設法,きょうとこくさいぶんかかんこうとしけんせつほう,,昭和二十五年十月二十二日,平成２７年８月１日（基準日）現在のデータ,,,,,325AC1000000251,https://elaws.e-gov.go.jp/document?lawid=325AC1000000251_20150801_000000000000000,,
法律,昭和二十六年法律第七号,松江国際文化観光都市建設法,まつえこくさいぶんかかんこうとしけんせつほう,,昭和二十六年三月一日,平成２７年８月１日（基準日）現在のデータ,,,,,326AC1000000007,https://elaws.e-gov.go.jp/document?lawid=326AC1000000007_20150801_000000000000000,,
法律,昭和二十六年法律第八号,芦屋国際文化住宅都市建設法,あしやこくさいぶんかじゅうたくとしけんせつほう,,昭和二十六年三月三日,平成２７年８月１日（基準日）現在のデータ,,,,,326AC1000000008,https://elaws.e-gov.go.jp/document?lawid=326AC1000000008_20150801_000000000000000,,
法律,昭和二十六年法律第百十七号,松山国際観光温泉文化都市建設法,まつやまこくさいかんこうおんせんぶんかとしけんせつほう,,昭和二十六年四月一日,平成２７年８月１日（基準日）現在のデータ,,,,,326AC1000000117,https://elaws.e-gov.go.jp/document?lawid=326AC1000000117_20150801_000000000000000,,
