法令種別,法令番号,法令名,法令名読み,旧法令名,公布日,改正法令名,改正法令番号,改正法令公布日,施行日,施行日備考,法令ID,本文URL,未施行,所管課確認中
府省令,平成三十年防衛省令第九号,防衛省の職員の俸給の切替えに関する省令,ぼうえいしょうのしょくいんのほうきゅうのきりかえにかんするしょうれい,,平成三十年十一月三十日,,,,平成三十年十一月三十日,,430M60002000009,https://elaws.e-gov.go.jp/document?lawid=430M60002000009_20181130_000000000000000,,
法律,昭和二十七年法律第二百六十六号,防衛省の職員の給与等に関する法律,ぼうえいしょうのしょくいんのきゅうよとうにかんするほうりつ,,昭和二十七年七月三十一日,防衛省の職員の給与等に関する法律の一部を改正する法律,令和二年法律第六十七号,令和二年十一月三十日,令和三年四月一日,,327AC0000000266,https://elaws.e-gov.go.jp/document?lawid=327AC0000000266_20210401_502AC0000000067,,
法律,昭和二十九年法律第百六十六号,日米相互防衛援助協定等に伴う秘密保護法,にちべいそうごぼうえいえんじょきょうていとうにともなうひみつほごほう,,昭和二十九年六月九日,平成２７年８月１日（基準日）現在のデータ,,,,,329AC0000000166,https://elaws.e-gov.go.jp/document?lawid=329AC0000000166_20150801_000000000000000,,
政令,昭和二十九年政令第百四十九号,日米相互防衛援助協定等に伴う秘密保護法施行令,にちべいそうごぼうえいえんじょきょうていとうにともなうひみつほごほうせこうれい,,昭和二十九年六月十八日,平成２７年８月１日（基準日）現在のデータ,,,,,329CO0000000149,https://elaws.e-gov.go.jp/document?lawid=329CO0000000149_20150801_000000000000000,,
府省令,昭和二十九年総理府令第三十九号,防衛大学校、防衛医科大学校、防衛研究所及び防衛監察本部組織規則,ぼうえいだいがっこうぼうえいいかだいがっこうぼうえいけんきゅうしょおよびぼうえいかんさつほんぶそしききそく,,昭和二十九年六月三十日,防衛大学校、防衛医科大学校、防衛研究所及び防衛監察本部組織規則等の一部を改正する省令,平成三十年防衛省令第三号,平成三十年三月三十日,平成三十年四月一日,,329M50000002039,https://elaws.e-gov.go.jp/document?lawid=329M50000002039_20180401_430M60002000003,,
府省令,昭和二十九年総理府令第七十四号,陸上自衛隊及び海上自衛隊の使用する船舶における火薬類の貯蔵等に関する省令,りくじょうじえいたいおよびかいじょうじえいたいのしようするせんぱくにおけるかやくるいのちょぞうとうにかんするしょうれい,,昭和二十九年十月六日,海上自衛隊の使用する船舶における火薬類の貯蔵等に関する省令の一部を改正する省令,平成二十九年防衛省令第十三号,平成二十九年十一月十日,平成二十九年十一月三十日,,329M50000002074,https://elaws.e-gov.go.jp/document?lawid=329M50000002074_20171130_429M60002000013,,
政令,昭和二十九年政令第百七十九号,自衛隊法施行令,じえいたいほうせこうれい,,昭和二十九年六月三十日,自衛隊法施行令の一部を改正する政令,令和三年政令第十五号,令和三年一月二十七日,令和三年一月二十七日,,329CO0000000179,https://elaws.e-gov.go.jp/document?lawid=329CO0000000179_20210127_503CO0000000015,,
政令,昭和二十九年政令第百七十九号,自衛隊法施行令,じえいたいほうせこうれい,,昭和二十九年六月三十日,スポーツ基本法施行令等の一部を改正する政令,令和元年政令第百八十号,令和元年十二月十一日,令和五年一月一日,,329CO0000000179,https://elaws.e-gov.go.jp/document?lawid=329CO0000000179_20230101_501CO0000000180,○,
府省令,昭和三十三年総理府令第二十八号,防衛装備庁受託試験研究規則,ぼうえいそうびちょうじゅたくしけんけんきゅうきそく,,昭和三十三年四月十七日,日本国とアメリカ合衆国との間の相互協力及び安全保障条約第六条に基づく施設及び区域並びに日本国における合衆国軍隊の地位に関する協定の実施に伴う土地等の使用等に関する特別措置法施行規則等の一部を改正する省令,令和三年防衛省令第一号,令和三年一月二十九日,令和三年一月二十九日,,333M50000002028,https://elaws.e-gov.go.jp/document?lawid=333M50000002028_20210129_503M60002000001,,
府省令,昭和三十四年総理府令第六十二号,陸上総隊司令部、方面総監部、師団司令部及び旅団司令部組織規則,りくじょうそうたいしれいぶほうめんそうかんぶしだんしれいぶおよびりょだんしれいぶそしききそく,,昭和三十四年十二月二十一日,陸上総隊司令部、方面総監部、師団司令部及び旅団司令部組織規則の一部を改正する省令,令和二年防衛省令第一号,令和二年三月十三日,令和二年三月二十六日,,334M50000002062,https://elaws.e-gov.go.jp/document?lawid=334M50000002062_20200326_502M60002000001,,
