法令種別,法令番号,法令名,法令名読み,旧法令名,公布日,改正法令名,改正法令番号,改正法令公布日,施行日,施行日備考,法令ID,本文URL,未施行,所管課確認中
法律,昭和二十二年法律第七十九号,国会法,こっかいほう,,昭和二十二年四月三十日,平成２７年８月１日（基準日）現在のデータ,,,,,322AC0000000079,https://elaws.e-gov.go.jp/document?lawid=322AC0000000079_20150801_000000000000000,,
法律,昭和二十二年法律第八十号,国会議員の歳費、旅費及び手当等に関する法律,こっかいぎいんのさいひ、りょひおよびてあてとうにかんするほうりつ,,昭和二十二年四月三十日,国会議員の歳費、旅費及び手当等に関する法律の一部を改正する法律,令和二年法律第二十四号,令和二年四月三十日,令和二年五月一日,,322AC0000000080,https://elaws.e-gov.go.jp/document?lawid=322AC0000000080_20200501_502AC0000000024,,
法律,昭和二十二年法律第八十一号,議院に出頭する証人等の旅費及び日当に関する法律,ぎいんにしゅっとうするしょうにんとうのりょひおよびにっとうにかんするほうりつ,,昭和二十二年四月三十日,平成２７年８月１日（基準日）現在のデータ,,,,,322AC0000000081,https://elaws.e-gov.go.jp/document?lawid=322AC0000000081_20150801_000000000000000,,
法律,昭和二十二年法律第八十三号,議院事務局法,ぎいんじむきょくほう,,昭和二十二年四月三十日,平成２７年８月１日（基準日）現在のデータ,,,,,322AC0000000083,https://elaws.e-gov.go.jp/document?lawid=322AC0000000083_20150801_000000000000000,,
法律,昭和二十二年法律第八十五号,国会職員法,こっかいしょくいんほう,,昭和二十二年四月三十日,成年被後見人等の権利の制限に係る措置の適正化等を図るための関係法律の整備に関する法律,令和元年法律第三十七号,令和元年六月十四日,令和元年九月十四日,,322AC0000000085,https://elaws.e-gov.go.jp/document?lawid=322AC0000000085_20190914_501AC0000000037,,
法律,昭和二十三年法律第五号,国立国会図書館法,こくりつこっかいとしょかんほう,,昭和二十三年二月九日,貿易保険法及び特別会計に関する法律の一部を改正する法律,平成二十七年法律第五十九号,平成二十七年七月十七日,平成二十九年四月一日,,323AC1000000005,https://elaws.e-gov.go.jp/document?lawid=323AC1000000005_20170401_427AC0000000059,,
法律,昭和二十三年法律第六号,国立国会図書館建築委員会法,こくりつこっかいとしょかんけんちくいいんかいほう,,昭和二十三年二月九日,平成２７年８月１日（基準日）現在のデータ,,,,,323AC1000000006,https://elaws.e-gov.go.jp/document?lawid=323AC1000000006_20150801_000000000000000,,
法律,昭和二十三年法律第九十二号,議院法制局法,ぎいんほうせいきょくほう,,昭和二十三年七月五日,平成２７年８月１日（基準日）現在のデータ,,,,,323AC1000000092,https://elaws.e-gov.go.jp/document?lawid=323AC1000000092_20150801_000000000000000,,
法律,昭和二十三年法律第百九十四号,政治資金規正法,せいじしきんきせいほう,,昭和二十三年七月二十九日,情報通信技術の活用による行政手続等に係る関係者の利便性の向上並びに行政運営の簡素化及び効率化を図るための行政手続等における情報通信の技術の利用に関する法律等の一部を改正する法律,令和元年法律第十六号,令和元年五月三十一日,令和元年十二月十六日,,323AC1000000194,https://elaws.e-gov.go.jp/document?lawid=323AC1000000194_20191216_501AC0000000016,,
法律,昭和二十四年法律第百一号,国立国会図書館法の規定により行政各部門に置かれる支部図書館及びその職員に関する法律,こくりつこっかいとしょかんほうのきていによりぎょうせいかくぶもんにおかれるしぶとしょかんおよびそのしょくいんにかんするほうりつ,,昭和二十四年五月二十四日,平成２７年８月１日（基準日）現在のデータ,,,,,324AC1000000101,https://elaws.e-gov.go.jp/document?lawid=324AC1000000101_20150801_000000000000000,,
法律,昭和二十五年法律第百七十九号,国会議員の選挙等の執行経費の基準に関する法律,こっかいぎいんのせんきょとうのしっこうけいひのきじゅんにかんするほうりつ,,昭和二十五年五月十五日,国会議員の選挙等の執行経費の基準に関する法律及び公職選挙法の一部を改正する法律,令和元年法律第一号,令和元年五月十五日,令和元年六月一日,,325AC0000000179,https://elaws.e-gov.go.jp/document?lawid=325AC0000000179_20190601_501AC0000000001,,
法律,昭和二十五年法律第百号,公職選挙法,こうしょくせんきょほう,,昭和二十五年四月十五日,公職選挙法の一部を改正する法律,令和二年法律第四十五号,令和二年六月十二日,令和二年十二月十二日,,325AC1000000100,https://elaws.e-gov.go.jp/document?lawid=325AC1000000100_20201212_502AC0000000045,,
府省令,昭和二十五年郵政省令第四号,公職選挙郵便規則,こうしょくせんきょゆうびんきそく,,昭和二十五年四月二十八日,平成２８年１０月１日（基準日）現在のデータ,,,,,325M50001000004,https://elaws.e-gov.go.jp/document?lawid=325M50001000004_20161001_000000000000000,,
法律,昭和二十八年法律第五十二号,国会における各会派に対する立法事務費の交付に関する法律,こっかいにおけるかくかいはにたいするりっぽうじむひのこうふにかんするほうりつ,,昭和二十八年七月七日,平成２７年８月１日（基準日）現在のデータ,,,,,328AC1000000052,https://elaws.e-gov.go.jp/document?lawid=328AC1000000052_20150801_000000000000000,,
法律,昭和二十二年法律第八十二号,昭和二十二年法律第八十二号（国会予備金に関する法律）,こっかいよびきんにかんするほうりつ,,昭和二十二年四月三十日,平成２７年８月１日（基準日）現在のデータ,,,,,322AC0000000082,https://elaws.e-gov.go.jp/document?lawid=322AC0000000082_20150801_000000000000000,,
政令,昭和四十三年政令第百五十七号,小笠原諸島の復帰に伴う公職選挙法の適用の暫定措置等に関する政令,おがさわらしょとうのふっきにともなうこうしょくせんきょほうのてきようのざんていそちとうにかんするせいれい,,昭和四十三年六月十三日,平成２７年８月１日（基準日）現在のデータ,,,,,343CO0000000157,https://elaws.e-gov.go.jp/document?lawid=343CO0000000157_20150801_000000000000000,,
政令,昭和五十年政令第二百七十七号,政治資金規正法施行令,せいじしきんきせいほうせこうれい,,昭和五十年九月二十六日,押印を求める手続の見直し等のための総務省関係政令の一部を改正する政令,令和三年政令第二十九号,令和三年二月十五日,令和三年二月十五日,,350CO0000000277,https://elaws.e-gov.go.jp/document?lawid=350CO0000000277_20210215_503CO0000000029,,
府省令,昭和五十年自治省令第十七号,政治資金規正法施行規則,せいじしきんきせいほうせこうきそく,,昭和五十年九月二十六日,政治資金規正法施行規則の一部を改正する省令,令和三年総務省令第十号,令和三年二月十五日,令和三年二月十五日,,350M50000008017,https://elaws.e-gov.go.jp/document?lawid=350M50000008017_20210215_503M60000008010,,
府省令,昭和五十四年総理府令第二十七号,国会議員互助年金の年額を職権により改定する場合の手続に関する総理府令,こっかいぎいんごじょねんきんのねんがくをしょっけんによりかいていするばあいのてつづきにかんするそうりふれい,,昭和五十四年五月十一日,平成２９年４月１日（基準日）現在のデータ,,,,,354M50000002027,https://elaws.e-gov.go.jp/document?lawid=354M50000002027_20170401_000000000000000,,
法律,平成六年法律第五号,政党助成法,せいとうじょせいほう,,平成六年二月四日,情報通信技術の活用による行政手続等に係る関係者の利便性の向上並びに行政運営の簡素化及び効率化を図るための行政手続等における情報通信の技術の利用に関する法律等の一部を改正する法律,令和元年法律第十六号,令和元年五月三十一日,令和元年十二月十六日,,406AC0000000005,https://elaws.e-gov.go.jp/document?lawid=406AC0000000005_20191216_501AC0000000016,,
法律,平成六年法律第百六号,政党交付金の交付を受ける政党等に対する法人格の付与に関する法律,せいとうこうふきんのこうふをうけるせいとうとうにたいするほうじんかくのふよにかんするほうりつ,,平成六年十一月二十五日,会社法の一部を改正する法律の施行に伴う関係法律の整備等に関する法律,令和元年法律第七十一号,令和元年十二月十一日,令和三年二月十五日,,406AC1000000106,https://elaws.e-gov.go.jp/document?lawid=406AC1000000106_20210215_501AC0000000071,,
法律,平成六年法律第百六号,政党交付金の交付を受ける政党等に対する法人格の付与に関する法律,せいとうこうふきんのこうふをうけるせいとうとうにたいするほうじんかくのふよにかんするほうりつ,,平成六年十一月二十五日,所得税法等の一部を改正する法律,令和二年法律第八号,令和二年三月三十一日,令和四年四月一日,,406AC1000000106,https://elaws.e-gov.go.jp/document?lawid=406AC1000000106_20220401_502AC0000000008,○,
法律,平成六年法律第百六号,政党交付金の交付を受ける政党等に対する法人格の付与に関する法律,せいとうこうふきんのこうふをうけるせいとうとうにたいするほうじんかくのふよにかんするほうりつ,,平成六年十一月二十五日,会社法の一部を改正する法律の施行に伴う関係法律の整備等に関する法律,令和元年法律第七十一号,令和元年十二月十一日,令和五年六月十日,会社法改正法附則第一条ただし書に規定する規定の施行の日,406AC1000000106,https://elaws.e-gov.go.jp/document?lawid=406AC1000000106_20230610_501AC0000000071,○,
府省令,平成六年自治省令第四十六号,政党交付金の交付を受ける政党等に対する法人格の付与に関する法律施行規則,せいとうこうふきんのこうふをうけるせいとうとうにたいするほうじんかくのふよにかんするほうりつせこうきそく,,平成六年十一月二十八日,政治資金規正法施行規則等の一部を改正する省令,令和三年総務省令第五号,令和三年二月一日,令和三年二月一日,,406M50000008046,https://elaws.e-gov.go.jp/document?lawid=406M50000008046_20210201_503M60000008005,,
法律,平成三十年法律第二十八号,政治分野における男女共同参画の推進に関する法律,せいじぶんやにおけるだんじょきょうどうさんかくのすいしんにかんするほうりつ,,平成三十年五月二十三日,,,,平成三十年五月二十三日,,430AC1000000028,https://elaws.e-gov.go.jp/document?lawid=430AC1000000028_20180523_000000000000000,,
府省令,平成十一年自治省令第二号,在外選挙執行規則,ざいがいせんきょしっこうきそく,,平成十一年一月二十六日,公職選挙法施行規則等の一部を改正する省令,令和元年総務省令第十三号,令和元年五月三十一日,令和元年六月一日,,411M50000008002,https://elaws.e-gov.go.jp/document?lawid=411M50000008002_20190601_501M60000008013,,
