法令種別,法令番号,法令名,法令名読み,旧法令名,公布日,改正法令名,改正法令番号,改正法令公布日,施行日,施行日備考,法令ID,本文URL,未施行,所管課確認中
法律,明治四十五年法律第二十一号,臘虎膃肭獣猟獲取締法,らっこおっとせいりょうかくとりしまりほう,,明治四十五年四月二十二日,漁業法等の一部を改正する等の法律,平成三十年法律第九十五号,平成三十年十二月十四日,令和二年十二月一日,,145AC0000000021,https://elaws.e-gov.go.jp/document?lawid=145AC0000000021_20201201_430AC0000000095,,○
法律,昭和二十四年法律第二百六十七号,漁業法,ぎょぎょうほう,,昭和二十四年十二月十五日,漁業法等の一部を改正する等の法律,平成三十年法律第九十五号,平成三十年十二月十四日,令和二年十二月一日,,324AC0000000267,https://elaws.e-gov.go.jp/document?lawid=324AC0000000267_20201201_430AC0000000095,,
法律,昭和二十四年法律第二百六十八号,漁業法施行法　抄,ぎょぎょうほうせこうほう　しょう,,昭和二十四年十二月十五日,平成２７年８月１日（基準日）現在のデータ,,,,,324AC0000000268,https://elaws.e-gov.go.jp/document?lawid=324AC0000000268_20150801_000000000000000,,
政令,昭和二十四年政令第四十七号,水産業協同組合法の施行等に関する政令　抄,すいさんぎょうきょうどうくみあいほうのせこうとうにかんするせいれい　しょう,,昭和二十四年二月十一日,平成２７年８月１日（基準日）現在のデータ,,,,,324CO0000000047,https://elaws.e-gov.go.jp/document?lawid=324CO0000000047_20150801_000000000000000,,
法律,昭和二十五年法律第百三十七号,漁港漁場整備法,ぎょこうぎょじょうせいびほう,,昭和二十五年五月二日,漁業法等の一部を改正する等の法律,平成三十年法律第九十五号,平成三十年十二月十四日,令和二年十二月一日,,325AC1000000137,https://elaws.e-gov.go.jp/document?lawid=325AC1000000137_20201201_430AC0000000095,,
法律,昭和二十五年法律第百七十八号,漁船法,ぎょせんほう,,昭和二十五年五月十三日,漁業法等の一部を改正する等の法律,平成三十年法律第九十五号,平成三十年十二月十四日,令和二年十二月一日,,325AC1000000178,https://elaws.e-gov.go.jp/document?lawid=325AC1000000178_20201201_430AC0000000095,,
法律,昭和二十五年法律第二百五十三号,漁業用海岸局を開設運用する漁業協同組合及び漁業協同組合連合会に対する水産業協同組合法の適用の特例に関する法律,ぎょぎょうようかいがんきょくをかいせつうんようするぎょぎょうきょうどうくみあいおよびぎょぎょうきょうどうくみあいれんごうかいにたいするすいさんぎょうきょうどうくみあいほうのてきようのとくれいにかんするほうりつ,,昭和二十五年十二月九日,漁業法等の一部を改正する等の法律,平成三十年法律第九十五号,平成三十年十二月十四日,令和二年十二月一日,,325AC1000000253,https://elaws.e-gov.go.jp/document?lawid=325AC1000000253_20201201_430AC0000000095,,
府省令,平成三十年農林水産省令第四十号,大臣管理量に係るくろまぐろの採捕の停止に関する省令,だいじんかんりりょうにかかるくろまぐろのさいほのていしにかんするしょうれい,,平成三十年六月二十九日,,,,平成三十年七月十九日,,430M60000200040,https://elaws.e-gov.go.jp/document?lawid=430M60000200040_20180719_000000000000000,,
政令,昭和二十五年政令第二百三十九号,漁港漁場整備法施行令,ぎょこうぎょじょうせいびほうせこうれい,,昭和二十五年七月二十八日,漁港漁場整備法施行令の一部を改正する政令,平成三十一年政令第百十一号,平成三十一年三月二十九日,平成三十一年四月一日,,325CO0000000239,https://elaws.e-gov.go.jp/document?lawid=325CO0000000239_20190401_431CO0000000111,,
府省令,昭和二十五年農林省令第十八号,旧漁業法に基く省令の効力に関する省令,きゅうぎょぎょうほうにもとづくしょうれいのこうりょくにかんするしょうれい,,昭和二十五年三月十四日,平成２８年１０月１日（基準日）現在のデータ,,,,,325M50010000018,https://elaws.e-gov.go.jp/document?lawid=325M50010000018_20161001_000000000000000,,
府省令,昭和二十五年農林省令第二十号,漁業手数料規則,ぎょぎょうてすうりょうきそく,,昭和二十五年三月十四日,漁業法等の一部を改正する等の法律の施行に伴う農林水産省関係省令の整備に関する省令,令和二年農林水産省令第四十九号,令和二年七月八日,令和二年十二月一日,,325M50010000020,https://elaws.e-gov.go.jp/document?lawid=325M50010000020_20201201_502M60000200049,,
府省令,昭和二十五年農林省令第五十号,海区漁業調整委員会委員の選挙等に関する省令,かいくぎょぎょうちょうせいいいんかいいいんのせんきょとうにかんするしょうれい,,昭和二十五年五月八日,元号を改める政令の施行に伴う農林水産省関係省令の整理に関する省令,令和元年農林水産省令第一号,令和元年五月七日,令和元年五月七日,,325M50010000050,https://elaws.e-gov.go.jp/document?lawid=325M50010000050_20190507_501M60000200001,,
府省令,昭和二十五年農林省令第九十五号,漁船法施行規則,ぎょせんほうせこうきそく,,昭和二十五年八月十二日,漁業法等の一部を改正する等の法律の施行に伴う農林水産省関係省令の整備に関する省令,令和二年農林水産省令第四十九号,令和二年七月八日,令和二年十二月一日,,325M50010000095,https://elaws.e-gov.go.jp/document?lawid=325M50010000095_20201201_502M60000200049,,
府省令,昭和二十五年農林省令第百二十四号,漁船検査規則,ぎょせんけんさきそく,,昭和二十五年十一月十八日,漁業法等の一部を改正する等の法律の施行に伴う農林水産省関係省令の整備に関する省令,令和二年農林水産省令第四十九号,令和二年七月八日,令和二年十二月一日,,325M50010000124,https://elaws.e-gov.go.jp/document?lawid=325M50010000124_20201201_502M60000200049,,
政令,昭和二十五年政令第三十号,漁業法施行令,ぎょぎょうほうせこうれい,,昭和二十五年三月十三日,漁業法等の一部を改正する等の法律の施行に伴う関係政令の整備及び経過措置に関する政令,令和二年政令第二百十七号,令和二年七月八日,令和二年十二月一日,,325CO0000000030,https://elaws.e-gov.go.jp/document?lawid=325CO0000000030_20201201_502CO0000000217,,○
法律,昭和二十六年法律第三百十三号,水産資源保護法,すいさんしげんほごほう,,昭和二十六年十二月十七日,漁業法等の一部を改正する等の法律,平成三十年法律第九十五号,平成三十年十二月十四日,令和二年十二月一日,,326AC1000000313,https://elaws.e-gov.go.jp/document?lawid=326AC1000000313_20201201_430AC0000000095,,○
政令,昭和二十六年政令第二百九十二号,漁業登録令,ぎょぎょうとうろくれい,,昭和二十六年九月一日,押印を求める手続の見直し等のための農林水産省関係政令の一部を改正する政令,令和二年政令第三百七十六号,令和二年十二月二十四日,令和三年一月一日,,326CO0000000292,https://elaws.e-gov.go.jp/document?lawid=326CO0000000292_20210101_502CO0000000376,,○
府省令,昭和二十六年農林省令第六十二号,瀬戸内海漁業取締規則,せとないかいぎょぎょうとりしまりきそく,,昭和二十六年八月二十九日,漁業法等の一部を改正する等の法律の施行に伴う農林水産省関係省令の整備に関する省令,令和二年農林水産省令第四十九号,令和二年七月八日,令和二年十二月一日,,326M50010000062,https://elaws.e-gov.go.jp/document?lawid=326M50010000062_20201201_502M60000200049,,
府省令,昭和二十六年農林省令第六十四号,漁業登録令施行規則,ぎょぎょうとうろくれいせこうきそく,,昭和二十六年九月一日,漁業法等の一部を改正する等の法律の施行に伴う農林水産省関係省令の整備に関する省令,令和二年農林水産省令第四十九号,令和二年七月八日,令和二年十二月一日,,326M50010000064,https://elaws.e-gov.go.jp/document?lawid=326M50010000064_20201201_502M60000200049,,
法律,昭和二十七年法律第二百四十三号,日本国とアメリカ合衆国との間の相互協力及び安全保障条約に基づき日本国にあるアメリカ合衆国の軍隊の水面の使用に伴う漁船の操業制限等に関する法律,にほんこくとあめりかがっしゅうこくとのあいだのそうごきょうりょくおよびあんぜんほしょうじょうやくにもとづきにほんこくにあるあめりかがっしゅうこくのぐんたいのすいめんのしようにともなうぎょせんのそうぎょうせいげんとうにかんするほうりつ,,昭和二十七年七月二十二日,行政不服審査法の施行に伴う関係法律の整備等に関する法律,平成二十六年法律第六十九号,平成二十六年六月十三日,平成二十八年四月一日,,327AC0000000243,https://elaws.e-gov.go.jp/document?lawid=327AC0000000243_20160401_426AC0000000069,,
法律,昭和二十七年法律第三百四十六号,中小漁業融資保証法,ちゅうしょうぎょぎょうゆうしほしょうほう,,昭和二十七年十二月二十七日,国有林野の管理経営に関する法律等の一部を改正する法律,令和元年法律第三十一号,令和元年六月十二日,令和二年四月一日,,327AC0000000346,https://elaws.e-gov.go.jp/document?lawid=327AC0000000346_20200401_501AC0000000031,,○
法律,昭和二十七年法律第二百十二号,漁船乗組員給与保険法,ぎょせんのりくみいんきゅうよほけんほう,,昭和二十七年六月二十五日,,平成二十八年法律第三十九号,平成二十八年五月十八日,平成二十九年四月一日,,327AC1000000212,https://elaws.e-gov.go.jp/document?lawid=327AC1000000212_20170401_428AC0000000039,○,
