法令種別,法令番号,法令名,法令名読み,旧法令名,公布日,改正法令名,改正法令番号,改正法令公布日,施行日,施行日備考,法令ID,本文URL,未施行,所管課確認中
法律,昭和二十九年法律第百八十八号,日本国における国際連合の軍隊の地位に関する協定の実施に伴う地方税法の臨時特例に関する法律,にほんこくにおけるこくさいれんごうのぐんたいのちいにかんするきょうていのじっしにともなうちほうぜいほうのりんじとくれいにかんするほうりつ,,昭和二十九年六月二十一日,地方税法等の一部を改正する等の法律,平成二十八年法律第十三号,平成二十八年三月三十一日,令和元年十月一日,,329AC0000000188,https://elaws.e-gov.go.jp/document?lawid=329AC0000000188_20191001_428AC0000000013,,
法律,昭和二十九年法律第二百五号,日本中央競馬会法,にほんちゅうおうけいばかいほう,,昭和二十九年七月一日,行政不服審査法の施行に伴う関係法律の整備等に関する法律,平成二十六年法律第六十九号,平成二十六年六月十三日,平成二十八年四月一日,,329AC0000000205,https://elaws.e-gov.go.jp/document?lawid=329AC0000000205_20160401_426AC0000000069,,
政令,昭和二十九年政令第二百五十八号,日本中央競馬会法施行令,にほんちゅうおうけいばかいほうせこうれい,,昭和二十九年九月一日,競馬法施行令及び日本中央競馬会法施行令の一部を改正する政令,平成二十七年政令第三百二十二号,平成二十七年九月九日,平成二十七年十一月一日,,329CO0000000258,https://elaws.e-gov.go.jp/document?lawid=329CO0000000258_20151101_427CO0000000322,,
府省令,昭和二十九年農林省令第五十五号,競馬法施行規則,けいばほうせこうきそく,,昭和二十九年九月十三日,押印を求める手続等の見直しのための農林水産省関係省令の一部を改正する省令,令和二年農林水産省令第八十三号,令和二年十二月二十一日,令和二年十二月二十一日,,329M50010000055,https://elaws.e-gov.go.jp/document?lawid=329M50010000055_20201221_502M60000200083,,
府省令,昭和二十九年農林省令第五十六号,日本中央競馬会法施行規則,にほんちゅうおうけいばかいほうせこうきそく,,昭和二十九年九月十三日,押印を求める手続等の見直しのための農林水産省関係省令の一部を改正する省令,令和二年農林水産省令第八十三号,令和二年十二月二十一日,令和二年十二月二十一日,,329M50010000056,https://elaws.e-gov.go.jp/document?lawid=329M50010000056_20201221_502M60000200083,,
法律,昭和三十年法律第百十三号,地方揮発油譲与税法,ちほうきはつゆじょうよぜいほう,,昭和三十年八月一日,平成２７年８月１日（基準日）現在のデータ,,,,,330AC0000000113,https://elaws.e-gov.go.jp/document?lawid=330AC0000000113_20150801_000000000000000,,
法律,昭和三十年法律第百十三号,地方揮発油譲与税法,ちほうきはつゆじょうよぜいほう,,昭和三十年八月一日,地方税法等の一部を改正する法律,平成三十一年法律第二号,平成三十一年三月二十九日,令和十六年四月一日,,330AC0000000113,https://elaws.e-gov.go.jp/document?lawid=330AC0000000113_20340401_431AC0000000002,○,
法律,昭和三十二年法律第七十七号,特別とん譲与税法,とくべつとんじょうよぜいほう,,昭和三十二年四月二十四日,平成２７年８月１日（基準日）現在のデータ,,,,,332AC0000000077,https://elaws.e-gov.go.jp/document?lawid=332AC0000000077_20150801_000000000000000,,
法律,昭和三十二年法律第百四号,国有提供施設等所在市町村助成交付金に関する法律,こくゆうていきょうしせつとうしょざいしちょうそんじょせいこうふきんにかんするほうりつ,,昭和三十二年五月十六日,平成２７年８月１日（基準日）現在のデータ,,,,,332AC0000000104,https://elaws.e-gov.go.jp/document?lawid=332AC0000000104_20150801_000000000000000,,
政令,昭和三十二年政令第三百二十一号,国有提供施設等所在市町村助成交付金に関する法律施行令,こくゆうていきょうしせつとうしょざいしちょうそんじょせいこうふきんにかんするほうりつせこうれい,,昭和三十二年十一月十八日,平成２７年８月１日（基準日）現在のデータ,,,,,332CO0000000321,https://elaws.e-gov.go.jp/document?lawid=332CO0000000321_20150801_000000000000000,,
府省令,昭和三十二年通商産業省令第三十九号,競輪審判員、選手および自転車登録規則,けいりんしんぱんいん、せんしゅおよびじてんしゃとうろくきそく,,昭和三十二年九月十四日,平成２８年１０月１日（基準日）現在のデータ,,,,,332M50000400039,https://elaws.e-gov.go.jp/document?lawid=332M50000400039_20161001_000000000000000,,
府省令,昭和三十二年通商産業省令第四十一号,小型自動車競走審判員、選手および小型自動車登録規則,こがたじどうしゃきょうそうしんぱんいん、せんしゅおよびこがたじどうしゃとうろくきそく,,昭和三十二年九月十四日,平成２８年１０月１日（基準日）現在のデータ,,,,,332M50000400041,https://elaws.e-gov.go.jp/document?lawid=332M50000400041_20161001_000000000000000,,
政令,昭和三十三年政令第百十七号,地方交付税法施行令,ちほうこうふぜいほうせこうれい,,昭和三十三年五月十三日,平成２７年８月１日（基準日）現在のデータ,,,,,333CO0000000117,https://elaws.e-gov.go.jp/document?lawid=333CO0000000117_20150801_000000000000000,,
法律,昭和三十六年法律第百十二号,後進地域の開発に関する公共事業に係る国の負担割合の特例に関する法律,こうしんちいきのかいはつにかんするこうきょうじぎょうにかかるくにのふたんわりあいのとくれいにかんするほうりつ,,昭和三十六年六月二日,平成２７年８月１日（基準日）現在のデータ,,,,,336AC0000000112,https://elaws.e-gov.go.jp/document?lawid=336AC0000000112_20150801_000000000000000,,
法律,昭和三十七年法律第八十八号,辺地に係る公共的施設の総合整備のための財政上の特別措置等に関する法律,へんちにかかるこうきょうてきしせつのそうごうせいびのためのざいせいじょうのとくべつそちとうにかんするほうりつ,,昭和三十七年四月二十五日,学校教育法等の一部を改正する法律,平成二十七年法律第四十六号,平成二十七年六月二十四日,平成二十八年四月一日,,337AC0000000088,https://elaws.e-gov.go.jp/document?lawid=337AC0000000088_20160401_427AC0000000046,,
政令,昭和三十七年政令第三百一号,辺地に係る公共的施設の総合整備のための財政上の特別措置等に関する法律施行令,へんちにかかるこうきょうてきしせつのそうごうせいびのためのざいせいじょうのとくべつそちとうにかんするほうりつせこうれい,,昭和三十七年七月十八日,児童福祉法等の一部を改正する法律の施行に伴う関係政令の整備に関する政令,平成二十九年政令第六十三号,平成二十九年三月二十九日,平成二十九年四月一日,,337CO0000000301,https://elaws.e-gov.go.jp/document?lawid=337CO0000000301_20170401_429CO0000000063,,
府省令,昭和三十七年自治省令第十四号,辺地に係る公共的施設の総合整備のための財政上の特別措置等に関する法律施行規則,へんちにかかるこうきょうてきしせつのそうごうせいびのためのざいせいじょうのとくべつそちとうにかんするほうりつせこうきそく,,昭和三十七年七月十八日,平成２８年１０月１日（基準日）現在のデータ,,,,,337M50000008014,https://elaws.e-gov.go.jp/document?lawid=337M50000008014_20161001_000000000000000,,
政令,昭和三十六年政令第二百五十八号,後進地域の開発に関する公共事業に係る国の負担割合の特例に関する法律施行令,こうしんちいきのかいはつにかんするこうきょうじぎょうにかかるくにのふたんわりあいのとくれいにかんするほうりつせこうれい,,昭和三十六年七月十四日,道路整備事業に係る国の財政上の特別措置に関する法律施行令の一部を改正する政令,令和二年政令第三百四十三号,令和二年十二月九日,令和二年十二月九日,,336CO0000000258,https://elaws.e-gov.go.jp/document?lawid=336CO0000000258_20201209_502CO0000000343,,○
府省令,昭和三十七年農林省令第三十九号,地方競馬全国協会の財務及び会計に関する省令,ちほうけいばぜんこくきょうかいのざいむおよびかいけいにかんするしょうれい,,昭和三十七年七月十六日,平成２８年１０月１日（基準日）現在のデータ,,,,,337M50010000039,https://elaws.e-gov.go.jp/document?lawid=337M50010000039_20161001_000000000000000,,
法律,平成三十一年法律第一号,平成三十年度分として交付すべき地方交付税の総額の特例に関する法律,へいせいさんじゅうねんどぶんとしてこうふすべきちほうこうふぜいのそうがくのとくれいにかんするほうりつ,,平成三十一年二月十四日,,,,平成三十一年二月十四日,,431AC0000000001,https://elaws.e-gov.go.jp/document?lawid=431AC0000000001_20190214_000000000000000,,○
法律,昭和四十年法律第百五十七号,石油ガス譲与税法,せきゆがすじょうよぜいほう,,昭和四十年十二月二十九日,平成２７年８月１日（基準日）現在のデータ,,,,,340AC0000000157,https://elaws.e-gov.go.jp/document?lawid=340AC0000000157_20150801_000000000000000,,
政令,平成三十一年政令第二十六号,日本中央競馬会の平成三十一事業年度における日本中央競馬会法第二十九条の二第三項の割合を定める政令,にほんちゅうおうけいばかいのへいせいさんじゅういちねんじぎょうねんどにおけるにほんちゅうおうけいばかいほうだいにじゅうきゅうじょうのにだいさんこうのわりあいをさだめるせいれい,,平成三十一年二月二十二日,,,,平成三十一年二月二十二日,,431CO0000000026,https://elaws.e-gov.go.jp/document?lawid=431CO0000000026_20190222_000000000000000,,
府省令,平成三十一年総務省令第七号,平成三十年度分の地方交付税の交付時期及び交付額の特例に関する省令,へいせいさんじゅうねんどぶんのちほうこうふぜいのこうふじきおよびこうふがくのとくれいにかんするしょうれい,,平成三十一年二月十四日,,,,平成三十一年二月十四日,,431M60000008007,https://elaws.e-gov.go.jp/document?lawid=431M60000008007_20190214_000000000000000,,
府省令,昭和四十五年自治省令第十一号,公営競技納付金の納付に関する規則,こうえいきょうぎのうふきんののうふにかんするきそく,,昭和四十五年四月三十日,平成２８年１０月１日（基準日）現在のデータ,,,,,345M50000008011,https://elaws.e-gov.go.jp/document?lawid=345M50000008011_20161001_000000000000000,,
法律,昭和四十六年法律第九十号,自動車重量譲与税法,じどうしゃじゅうりょうじょうよぜいほう,,昭和四十六年五月三十一日,地方税法等の一部を改正する法律,平成三十一年法律第二号,平成三十一年三月二十九日,平成三十一年四月一日,,346AC0000000090,https://elaws.e-gov.go.jp/document?lawid=346AC0000000090_20190401_431AC0000000002,,
