法令種別,法令番号,法令名,法令名読み,旧法令名,公布日,改正法令名,改正法令番号,改正法令公布日,施行日,施行日備考,法令ID,本文URL,未施行,所管課確認中
法律,昭和二十四年法律第二百五十九号,国際観光事業の助成に関する法律,こくさいかんこうじぎょうのじょせいにかんするほうりつ,,昭和二十四年十二月十二日,平成２７年８月１日（基準日）現在のデータ,,,,,324AC0000000259,https://elaws.e-gov.go.jp/document?lawid=324AC0000000259_20150801_000000000000000,,
法律,昭和二十四年法律第二百七十九号,国際観光ホテル整備法,こくさいかんこうほてるせいびほう,,昭和二十四年十二月二十四日,成年被後見人等の権利の制限に係る措置の適正化等を図るための関係法律の整備に関する法律,令和元年法律第三十七号,令和元年六月十四日,令和元年九月十四日,,324AC1000000279,https://elaws.e-gov.go.jp/document?lawid=324AC1000000279_20190914_501AC0000000037,,
政令,昭和二十四年政令第四百四号,国際観光事業の助成に関する法律第一条の法人を指定する政令,こくさいかんこうじぎょうのじょせいにかんするほうりつだいいちじょうのほうじんをしていするせいれい,,昭和二十四年十二月二十六日,平成２７年８月１日（基準日）現在のデータ,,,,,324CO0000000404,https://elaws.e-gov.go.jp/document?lawid=324CO0000000404_20150801_000000000000000,,
府省令,昭和二十四年運輸省令第二十七号,通訳案内士法施行規則,つうやくあんないしほうせこうきそく,,昭和二十四年六月十五日,押印を求める手続の見直し等のための国土交通省関係省令の一部を改正する省令,令和二年国土交通省令第九十八号,令和二年十二月二十三日,令和三年一月一日,,324M50000800027,https://elaws.e-gov.go.jp/document?lawid=324M50000800027_20210101_502M60000800098,,
政令,昭和二十五年政令第百八十六号,国際観光ホテル整備法施行令,こくさいかんこうほてるせいびほうせこうれい,,昭和二十五年六月十日,平成２７年８月１日（基準日）現在のデータ,,,,,325CO0000000186,https://elaws.e-gov.go.jp/document?lawid=325CO0000000186_20150801_000000000000000,,
府省令,昭和二十五年運輸省令第八号,国際観光事業の助成に関する法律施行規則,こくさいかんこうじぎょうのじょせいにかんするほうりつせこうきそく,,昭和二十五年一月二十八日,平成２８年１０月１日（基準日）現在のデータ,,,,,325M50000800008,https://elaws.e-gov.go.jp/document?lawid=325M50000800008_20161001_000000000000000,,
政令,令和二年政令第三百六十五号,特定複合観光施設区域整備法第九条第十項の期間を定める政令,とくていふくごうかんこうしせつくいきせいびほうだいきゅうじょうだいじゅっこうのきかんをさだめるせいれい,,令和二年十二月二十三日,,,,令和二年十二月二十三日,,502CO0000000365,https://elaws.e-gov.go.jp/document?lawid=502CO0000000365_20201223_000000000000000,,
府省令,平成二十一年内閣府・国土交通省令第一号,旅行業者等が旅行者と締結する契約等に関する規則,りょこうぎょうしゃとうがりょこうしゃとていけつするけいやくとうにかんするきそく,,平成二十一年八月二十八日,旅行業者等が旅行者と締結する契約等に関する規則の一部を改正する命令,平成三十年内閣府・国土交通省令第三号,平成三十年四月十六日,平成三十年六月十五日,,421M60000802001,https://elaws.e-gov.go.jp/document?lawid=421M60000802001_20180615_430M60000802003,,
府省令,令和二年文部科学省令第十八号,文部科学省関係文化観光拠点施設を中核とした地域における文化観光の推進に関する法律施行規則,もんぶかがくしょうかんけいぶんかかんこうきょてんしせつをちゅうかくとしたちいきにおけるぶんかかんこうのすいしんにかんするほうりつせこうきそく,,令和二年四月三十日,,,,令和二年五月一日,,502M60000080018,https://elaws.e-gov.go.jp/document?lawid=502M60000080018_20200501_000000000000000,,
府省令,令和二年国土交通省令第四十七号,国土交通省関係文化観光拠点施設を中核とした地域における文化観光の推進に関する法律施行規則,こくどこうつうしょうかんけいぶんかかんこうきょてんしせつをちゅうかくとしたちいきにおけるぶんかかんこうのすいしんにかんするほうりつせこうきそく,,令和二年五月十四日,,,,令和二年五月十四日,,502M60000800047,https://elaws.e-gov.go.jp/document?lawid=502M60000800047_20200514_000000000000000,,
