法令種別,法令番号,法令名,法令名読み,旧法令名,公布日,改正法令名,改正法令番号,改正法令公布日,施行日,施行日備考,法令ID,本文URL,未施行,所管課確認中
法律,明治三十年法律第二十九号,砂防法,さぼうほう,,明治三十年三月三十日,平成２７年８月１日（基準日）現在のデータ,,,,,130AC0000000029,https://elaws.e-gov.go.jp/document?lawid=130AC0000000029_20150801_000000000000000,,
勅令,明治三十年勅令第三百八十二号,砂防法施行規程,さぼうほうせこうきてい,,明治三十年十月二十六日,平成２７年８月１日（基準日）現在のデータ,,,,,130IO0000000382,https://elaws.e-gov.go.jp/document?lawid=130IO0000000382_20150801_000000000000000,,
法律,明治四十一年法律第五十号,水害予防組合法,すいがいよぼうくみあいほう,,明治四十一年四月十三日,行政不服審査法の施行に伴う関係法律の整備等に関する法律,平成二十六年法律第六十九号,平成二十六年六月十三日,平成二十八年四月一日,,141AC0000000050,https://elaws.e-gov.go.jp/document?lawid=141AC0000000050_20160401_426AC0000000069,,
勅令,明治四十一年勅令第百九十一号,水害予防組合職員賠償責任及身元保証令,すいがいよぼうくみあいしょくいんばいしょうせきにんおよびみもとほしょうれい,,明治四十一年八月三日,行政不服審査法及び行政不服審査法の施行に伴う関係法律の整備等に関する法律の施行に伴う関係政令の整備に関する政令,平成二十七年政令第三百九十二号,平成二十七年十一月二十六日,平成二十八年四月一日,,141IO0000000191,https://elaws.e-gov.go.jp/document?lawid=141IO0000000191_20160401_427CO0000000392,,
府省令,明治四十一年内務省令第十四号,水害予防組合法第八十二条ニ依ル水害予防組合吏員服務紀律,すいがいよぼうくみあいほうだいはちじゅうにじょうによるすいがいよぼうくみあいりいんふくむきりつ,,明治四十一年八月三日,平成２８年１０月１日（基準日）現在のデータ,,,,,141M10000008014,https://elaws.e-gov.go.jp/document?lawid=141M10000008014_20161001_000000000000000,,
政令,令和二年政令第二百三十四号,令和二年七月豪雨による災害についての非常災害の指定に関する政令,れいわにねんしちがつごううによるさいがいについてのひじょうさいがいのしていにかんするせいれい,,令和二年八月五日,,,,令和二年八月五日,,502CO0000000234,https://elaws.e-gov.go.jp/document?lawid=502CO0000000234_20200805_000000000000000,,○
法律,昭和二十二年法律第百十八号,災害救助法,さいがいきゅうじょほう,,昭和二十二年十月十八日,災害救助法の一部を改正する法律,平成三十年法律第五十二号,平成三十年六月十五日,平成三十一年四月一日,,322AC0000000118,https://elaws.e-gov.go.jp/document?lawid=322AC0000000118_20190401_430AC0000000052,,
政令,平成三十年政令第二百八十八号,平成三十年八月二十日から九月五日までの間の暴風雨及び豪雨による新潟県岩船郡粟島浦村等の区域に係る災害についての激甚災害並びにこれに対し適用すべき措置の指定に関する政令,へいせいさんじゅうねんはちがつはつかからくがついつかまでのあいだのぼうふううおよびごううによるにいがたけんいわふねぐんあわしまうらむらとうのくいきにかかるさいがいについてのげきじんさいがいならびにこれにたいしてきようすべきそちのしていにかんするせいれい,,平成三十年十月一日,平成三十年等における特定地域に係る激甚災害及びこれに対し適用すべき措置の指定に関する政令,平成三十一年政令第四十三号,平成三十一年三月二十日,平成三十一年三月二十日,,430CO0000000288,https://elaws.e-gov.go.jp/document?lawid=430CO0000000288_20190320_431CO0000000043,○,
政令,平成三十年政令第二百八十九号,平成三十年北海道胆振東部地震による災害についての激甚災害及びこれに対し適用すべき措置の指定に関する政令,へいせいさんじゅうねんほっかいどういぶりとうぶじしんによるさいがいについてのげきじんさいがいおよびこれにたいしてきようすべきそちのしていにかんするせいれい,,平成三十年十月一日,東日本大震災についての激甚災害及びこれに対し適用すべき措置の指定に関する政令及び平成三十年北海道胆振東部地震による災害についての激甚災害及びこれに対し適用すべき措置の指定に関する政令の一部を改正する政令,令和二年政令第七十一号,令和二年三月二十七日,令和二年三月二十七日,,430CO0000000289,https://elaws.e-gov.go.jp/document?lawid=430CO0000000289_20200327_502CO0000000071,,
政令,昭和二十二年政令第二百二十五号,災害救助法施行令,さいがいきゅうじょほうせこうれい,,昭和二十二年十月三十日,災害救助法施行令及び災害対策基本法施行令の一部を改正する政令,平成三十年政令第三百五十九号,平成三十年十二月二十八日,平成三十一年四月一日,,322CO0000000225,https://elaws.e-gov.go.jp/document?lawid=322CO0000000225_20190401_430CO0000000359,,
府省令,昭和二十二年総理庁・厚生省・内務省・大蔵省・運輸省令第一号,災害救助法施行規則,さいがいきゅうじょほうせこうきそく,,昭和二十二年十月三十日,災害救助法施行規則の一部を改正する命令,平成三十年内閣府令第五十五号,平成三十年十二月二十八日,平成三十一年四月一日,,322M4000094a001,https://elaws.e-gov.go.jp/document?lawid=322M4000094a001_20190401_430M60000002055,,
府省令,平成三十年内閣府令第五十七号,災害救助法に基づく救助実施市に関する内閣府令,さいがいきゅうじょほうにもとづくきゅうじょじっししにかんするないかくふれい,,平成三十年十二月二十八日,,,,平成三十一年四月一日,,430M60000002057,https://elaws.e-gov.go.jp/document?lawid=430M60000002057_20190401_000000000000000,,
