法令種別,法令番号,法令名,法令名読み,旧法令名,公布日,改正法令名,改正法令番号,改正法令公布日,施行日,施行日備考,法令ID,本文URL,未施行,所管課確認中
府省令,明治三十九年農商務省令第二十七号,国有林野台帳規程,こくゆうりんやだいちょうきてい,,明治三十九年九月二十一日,平成２８年１０月１日（基準日）現在のデータ,,,,,139M10000200027,https://elaws.e-gov.go.jp/document?lawid=139M10000200027_20161001_000000000000000,,
法律,明治四十一年法律第五十七号,北海道国有未開地処分法,ほっかいどうこくゆうみかいちしょぶんほう,,明治四十一年四月十五日,平成２７年８月１日（基準日）現在のデータ,,,,,141AC0000000057,https://elaws.e-gov.go.jp/document?lawid=141AC0000000057_20150801_000000000000000,,
勅令,昭和二年勅令第二百六十三号,北海道国有未開地処分法施行規則,ほっかいどうこくゆうみかいちしょぶんほうせこうきそく,,昭和二年八月十六日,平成２７年８月１日（基準日）現在のデータ,,,,,302IO0000000263,https://elaws.e-gov.go.jp/document?lawid=302IO0000000263_20150801_000000000000000,,
勅令,昭和二十二年勅令第百九十号,社寺等に無償で貸し付けてある国有財産の処分に関する法律施行令,しゃじとうにむしょうでかしづけてあるこくゆうざいさんのしょぶんにかんするほうりつせこうれい,,昭和二十二年五月一日,平成２７年８月１日（基準日）現在のデータ,,,,,322IO0000000190,https://elaws.e-gov.go.jp/document?lawid=322IO0000000190_20150801_000000000000000,,
法律,昭和二十三年法律第七十三号,国有財産法,こくゆうざいさんほう,,昭和二十三年六月三十日,情報通信技術の活用による行政手続等に係る関係者の利便性の向上並びに行政運営の簡素化及び効率化を図るための行政手続等における情報通信の技術の利用に関する法律等の一部を改正する法律,令和元年法律第十六号,令和元年五月三十一日,令和元年十二月十六日,,323AC0000000073,https://elaws.e-gov.go.jp/document?lawid=323AC0000000073_20191216_501AC0000000016,,
政令,昭和二十三年政令第二百四十六号,国有財産法施行令,こくゆうざいさんほうせこうれい,,昭和二十三年八月二十日,電気事業法等の一部を改正する等の法律の一部の施行に伴う関係政令の整備及び経過措置に関する政令,平成二十九年政令第四十号,平成二十九年三月二十三日,平成二十九年四月一日,,323CO0000000246,https://elaws.e-gov.go.jp/document?lawid=323CO0000000246_20170401_429CO0000000040,,
府省令,昭和二十三年大蔵省令第九十二号,国有財産法施行細則,こくゆうざいさんほうせこうさいそく,,昭和二十三年九月二十八日,情報通信技術の活用による行政手続等に係る関係者の利便性の向上並びに行政運営の簡素化及び効率化を図るための行政手続等における情報通信の技術の利用に関する法律等の一部を改正する法律の施行に伴う財務省関係省令の整備に関する省令,令和元年財務省令第三十八号,令和元年十二月十三日,令和元年十二月十六日,,323M40000040092,https://elaws.e-gov.go.jp/document?lawid=323M40000040092_20191216_501M60000040038,,
法律,昭和二十六年法律第二百四十六号,国有林野の管理経営に関する法律,こくゆうりんやのかんりけいえいにかんするほうりつ,,昭和二十六年六月二十三日,国有林野の管理経営に関する法律等の一部を改正する法律,令和元年法律第三十一号,令和元年六月十二日,令和二年四月一日,,326AC1000000246,https://elaws.e-gov.go.jp/document?lawid=326AC1000000246_20200401_501AC0000000031,,
府省令,昭和二十六年農林省令第四十号,国有林野の管理経営に関する法律施行規則,こくゆうりんやのかんりけいえいにかんするほうりつせこうきそく,,昭和二十六年六月二十三日,国有林野の管理経営に関する法律施行規則及び木材の安定供給の確保に関する特別措置法施行規則の一部を改正する省令,令和元年農林水産省令第四十八号,令和元年十二月十九日,令和二年四月一日,,326M50010000040,https://elaws.e-gov.go.jp/document?lawid=326M50010000040_20200401_501M60000200048,,
法律,昭和二十七年法律第百十号,日本国とアメリカ合衆国との間の相互協力及び安全保障条約第六条に基づく施設及び区域並びに日本国における合衆国軍隊の地位に関する協定の実施に伴う国有の財産の管理に関する法律,にほんこくとあめりかがっしゅうこくとのあいだのそうごきょうりょくおよびあんぜんほしょうじょうやくだいろくじょうにもとづくしせつおよびくいきならびににほんこくにおけるがっしゅうこくぐんたいのちいにかんするきょうていのじっしにともなうこくゆうのざいさんのかんりにかんするほうりつ,,昭和二十七年四月二十八日,平成２７年８月１日（基準日）現在のデータ,,,,,327AC0000000110,https://elaws.e-gov.go.jp/document?lawid=327AC0000000110_20150801_000000000000000,,
法律,昭和二十七年法律第二百十九号,国有財産特別措置法,こくゆうざいさんとくべつそちほう,,昭和二十七年六月三十日,学校教育法等の一部を改正する法律,平成二十七年法律第四十六号,平成二十七年六月二十四日,平成二十八年四月一日,,327AC0000000219,https://elaws.e-gov.go.jp/document?lawid=327AC0000000219_20160401_427AC0000000046,,
法律,昭和二十七年法律第三百三十七号,国際連合の決議に基く民生事業のため必要な物品の無償譲渡に関する法律,こくさいれんごうのけつぎにもとづくみんせいじぎょうのためひつようなぶっぴんのむしょうじょうとにかんするほうりつ,,昭和二十七年十二月二十六日,平成２７年８月１日（基準日）現在のデータ,,,,,327AC0000000337,https://elaws.e-gov.go.jp/document?lawid=327AC0000000337_20150801_000000000000000,,
政令,昭和二十七年政令第二百六十四号,国有財産特別措置法施行令,こくゆうざいさんとくべつそちほうせこうれい,,昭和二十七年七月十日,児童福祉法等の一部を改正する法律の施行に伴う関係政令の整備に関する政令,平成二十九年政令第六十三号,平成二十九年三月二十九日,平成二十九年四月一日,,327CO0000000264,https://elaws.e-gov.go.jp/document?lawid=327CO0000000264_20170401_429CO0000000063,,
法律,昭和二十八年法律第二百号,一般財団法人日本遺族会に対する国有財産の無償貸付け等に関する法律,いっぱんざいだんほうじんにほんいぞくかいにたいするこくゆうざいさんのむしょうかしつけとうにかんするほうりつ,,昭和二十八年八月十二日,平成２７年８月１日（基準日）現在のデータ,,,,,328AC0000000200,https://elaws.e-gov.go.jp/document?lawid=328AC0000000200_20150801_000000000000000,,
法律,昭和二十八年法律第二百二十四号,財団法人労働科学研究所に対する国有財産の譲与に関する法律,ざいだんほうじんろうどうかがくけんきゅうじょにたいするこくゆうざいさんのじょうよにかんするほうりつ,,昭和二十八年八月十七日,平成２７年８月１日（基準日）現在のデータ,,,,,328AC1000000224,https://elaws.e-gov.go.jp/document?lawid=328AC1000000224_20150801_000000000000000,,
政令,昭和二十八年政令第二百八十五号,日本国とアメリカ合衆国との間の相互協力及び安全保障条約第六条に基づく施設及び区域並びに日本国における合衆国軍隊の地位に関する協定の実施に伴う国有の財産の管理に関する法律施行令,にほんこくとあめりかがっしゅうこくとのあいだのそうごきょうりょくおよびあんぜんほしょうじょうやくだいろくじょうにもとづくしせつおよびくいきならびににほんこくにおけるがっしゅうこくぐんたいのちいにかんするきょうていのじっしにともなうこくゆうのざいさんのかんりにかんするほうりつせこうれい,,昭和二十八年九月十七日,平成２７年８月１日（基準日）現在のデータ,,,,,328CO0000000285,https://elaws.e-gov.go.jp/document?lawid=328CO0000000285_20150801_000000000000000,,
法律,昭和二十九年法律第百九号,国の所有に属する自動車等の交換に関する法律,くにのしょゆうにぞくするじどうしゃとうのこうかんにかんするほうりつ,,昭和二十九年五月十七日,平成２７年８月１日（基準日）現在のデータ,,,,,329AC0000000109,https://elaws.e-gov.go.jp/document?lawid=329AC0000000109_20150801_000000000000000,,
法律,昭和二十九年法律第二百二十七号,国有の炭鉱医療施設の譲渡及び貸付に関する特例法,こくゆうのたんこういりょうしせつのじょうとおよびかしつけにかんするとくれいほう,,昭和二十九年十二月二十日,平成２７年８月１日（基準日）現在のデータ,,,,,329AC1000000227,https://elaws.e-gov.go.jp/document?lawid=329AC1000000227_20150801_000000000000000,,
政令,昭和二十九年政令第百二十一号,国有林野の管理経営に関する法律施行令,こくゆうりんやのかんりけいえいにかんするほうりつせこうれい,,昭和二十九年六月一日,国有林野の管理経営に関する法律等の一部を改正する法律の施行に伴う関係政令の整備に関する政令,令和元年政令第百四十七号,令和元年十一月七日,令和二年四月一日,,329CO0000000121,https://elaws.e-gov.go.jp/document?lawid=329CO0000000121_20200401_501CO0000000147,,
法律,昭和三十年法律第八十号,財団法人日本海員会館に対する国有の財産の譲与に関する法律,ざいだんほうじんにほんかいいんかいかんにたいするこくゆうのざいさんのじょうよにかんするほうりつ,,昭和三十年七月二十二日,平成２７年８月１日（基準日）現在のデータ,,,,,330AC1000000080,https://elaws.e-gov.go.jp/document?lawid=330AC1000000080_20150801_000000000000000,,
法律,昭和三十一年法律第百十三号,物品管理法,ぶっぴんかんりほう,,昭和三十一年五月二十二日,情報通信技術の活用による行政手続等に係る関係者の利便性の向上並びに行政運営の簡素化及び効率化を図るための行政手続等における情報通信の技術の利用に関する法律等の一部を改正する法律,令和元年法律第十六号,令和元年五月三十一日,令和元年十二月十六日,,331AC0000000113,https://elaws.e-gov.go.jp/document?lawid=331AC0000000113_20191216_501AC0000000016,,
法律,昭和二十二年法律第五十三号,昭和二十二年法律第五十三号（社寺等に無償で貸し付けてある国有財産の処分に関する法律）,しゃじとうにむしょうでかしづけてあるこくゆうざいさんのしょぶんにかんするほうりつ,,昭和二十二年四月十二日,平成２７年８月１日（基準日）現在のデータ,,,,,322AC0000000053,https://elaws.e-gov.go.jp/document?lawid=322AC0000000053_20150801_000000000000000,,
法律,昭和二十二年法律第二百二十九号,昭和二十二年法律第二百二十九号（物品の無償貸付及び譲与等に関する法律）,ぶっぴんのむしょうかしつけおよびじょうよとうにかんするほうりつ,,昭和二十二年十二月二十三日,平成２７年８月１日（基準日）現在のデータ,,,,,322AC0000000229,https://elaws.e-gov.go.jp/document?lawid=322AC0000000229_20150801_000000000000000,,
政令,昭和三十一年政令第三百三十九号,物品管理法施行令,ぶっぴんかんりほうせこうれい,,昭和三十一年十一月十日,押印を求める手続の見直し等のための財務省関係政令の一部を改正する政令,令和二年政令第三百六十号,令和二年十二月二十三日,令和三年一月一日,,331CO0000000339,https://elaws.e-gov.go.jp/document?lawid=331CO0000000339_20210101_502CO0000000360,,
法律,昭和二十二年法律第二百三十一号,昭和二十二年法律第二百三十一号（国が施行する内国貿易設備に関する港湾工事に因り生ずる土地又は工作物の譲与又は貸付及び使用料の徴収に関する法律）,くにがせこうするないこくぼうえきせつびにかんするこうわんこうじによりしょうずるとちまたはこうさくもののじょうよまたはかしつけおよびしようりょうのちょうしゅうにかんするほうりつ,,昭和二十二年十二月二十三日,平成２７年８月１日（基準日）現在のデータ,,,,,322AC0000000231,https://elaws.e-gov.go.jp/document?lawid=322AC0000000231_20150801_000000000000000,,
府省令,昭和三十一年大蔵省令第八十五号,物品管理法施行規則,ぶっぴんかんりほうせこうきそく,,昭和三十一年十二月二十九日,証券ヲ以テスル歳入納付ニ関スル法律施行細則等の一部を改正する省令,令和二年財務省令第七十三号,令和二年十二月四日,令和三年一月一日,,331M50000040085,https://elaws.e-gov.go.jp/document?lawid=331M50000040085_20210101_502M60000040073,,
