法令種別,法令番号,法令名,法令名読み,旧法令名,公布日,改正法令名,改正法令番号,改正法令公布日,施行日,施行日備考,法令ID,本文URL,未施行,所管課確認中
法律,平成元年法律第八十二号,貨物利用運送事業法,かもつりよううんそうじぎょうほう,,平成元年十二月十九日,平成２７年８月１日（基準日）現在のデータ,,,,,401AC0000000082,https://elaws.e-gov.go.jp/document?lawid=401AC0000000082_20150801_000000000000000,,
法律,平成元年法律第八十三号,貨物自動車運送事業法,かもつじどうしゃうんそうじぎょうほう,,平成元年十二月十九日,貨物自動車運送事業法の一部を改正する法律,平成三十年法律第九十六号,平成三十年十二月十四日,令和元年十二月十四日,,401AC0000000083,https://elaws.e-gov.go.jp/document?lawid=401AC0000000083_20191214_430AC0000000096,,
政令,平成二年政令第二百十三号,貨物自動車運送事業法の施行に伴う経過措置に関する政令,かもつじどうしゃうんそうじぎょうほうのせこうにともなうけいかそちにかんするせいれい,,平成二年七月十日,平成２７年８月１日（基準日）現在のデータ,,,,,402CO0000000213,https://elaws.e-gov.go.jp/document?lawid=402CO0000000213_20150801_000000000000000,,
府省令,平成二年運輸省令第二十号,貨物利用運送事業法施行規則,かもつりよううんそうじぎょうほうせこうきそく,,平成二年七月三十日,平成２８年１０月１日（基準日）現在のデータ,,,,,402M50000800020,https://elaws.e-gov.go.jp/document?lawid=402M50000800020_20161001_000000000000000,,
府省令,平成二年運輸省令第二十一号,貨物自動車運送事業法施行規則,かもつじどうしゃうんそうじぎょうほうせこうきそく,,平成二年七月三十日,押印を求める手続の見直し等のための国土交通省関係省令の一部を改正する省令,令和二年国土交通省令第九十八号,令和二年十二月二十三日,令和三年一月一日,,402M50000800021,https://elaws.e-gov.go.jp/document?lawid=402M50000800021_20210101_502M60000800098,,
府省令,平成二年運輸省令第三十二号,貨物利用運送事業報告規則,かもつりよううんそうじぎょうほうこくきそく,,平成二年十一月二十九日,平成２８年１０月１日（基準日）現在のデータ,,,,,402M50000800032,https://elaws.e-gov.go.jp/document?lawid=402M50000800032_20161001_000000000000000,,
府省令,平成二年運輸省令第三十三号,貨物自動車運送事業報告規則,かもつじどうしゃうんそうじぎょうほうこくきそく,,平成二年十一月二十九日,不正競争防止法等の一部を改正する法律の施行に伴う国土交通省関係省令の整理等に関する省令,令和元年国土交通省令第二十号,令和元年六月二十八日,令和元年七月一日,,402M50000800033,https://elaws.e-gov.go.jp/document?lawid=402M50000800033_20190701_501M60000800020,,
府省令,平成二年運輸省令第二十二号,貨物自動車運送事業輸送安全規則,かもつじどうしゃうんそうじぎょうゆそうあんぜんきそく,,平成二年七月三十日,海上運送法施行規則等の一部を改正する省令,令和二年国土交通省令第八十七号,令和二年十一月二日,令和三年二月一日,,402M50000800022,https://elaws.e-gov.go.jp/document?lawid=402M50000800022_20210201_502M60000800087,,
府省令,平成七年運輸省令第三十七号,貨物流通事業者の氏名の変更の届出等の一本化した提出の手続を定める省令,かもつりゅうつうじぎょうしゃのしめいのへんこうのとどけでとうのいっぽんかしたていしゅつのてつづきをさだめるしょうれい,,平成七年六月二十三日,平成２８年１０月１日（基準日）現在のデータ,,,,,407M50000800037,https://elaws.e-gov.go.jp/document?lawid=407M50000800037_20161001_000000000000000,,
府省令,平成十五年国土交通省令第十二号,鉄道事業法等の一部を改正する法律の施行に伴う経過措置を定める省令,てつどうじぎょうほうとうのいちぶをかいせいするほうりつのせこうにともなうけいかそちをさだめるしょうれい,,平成十五年二月十四日,平成２８年１０月１日（基準日）現在のデータ,,,,,415M60000800012,https://elaws.e-gov.go.jp/document?lawid=415M60000800012_20161001_000000000000000,,
