法令種別,法令番号,法令名,法令名読み,旧法令名,公布日,改正法令名,改正法令番号,改正法令公布日,施行日,施行日備考,法令ID,本文URL,未施行,所管課確認中
法律,明治三十二年法律第九十五号,水難救護法,すいなんきゅうごほう,,明治三十二年三月二十九日,平成２７年８月１日（基準日）現在のデータ,,,,,132AC0000000095,https://elaws.e-gov.go.jp/document?lawid=132AC0000000095_20150801_000000000000000,,
府省令,明治三十二年逓信省令第三十五号,水難救護法施行細則,すいなんきゅうごほうせこうさいそく,,明治三十二年七月二十九日,平成２８年１０月１日（基準日）現在のデータ,,,,,132M10001000035,https://elaws.e-gov.go.jp/document?lawid=132M10001000035_20161001_000000000000000,,
法律,明治三十二年法律第四十六号,船舶法,せんぱくほう,,明治三十二年三月八日,商法及び国際海上物品運送法の一部を改正する法律,平成三十年法律第二十九号,平成三十年五月二十五日,平成三十一年四月一日,,132AC0000000046,https://elaws.e-gov.go.jp/document?lawid=132AC0000000046_20190401_430AC0000000029,,
府省令,明治三十二年逓信省令第二十四号,船舶法施行細則,せんぱくほうせこうさいそく,,明治三十二年六月十二日,情報通信技術の活用による行政手続等に係る関係者の利便性の向上並びに行政運営の簡素化及び効率化を図るための行政手続等における情報通信の技術の利用に関する法律等の一部を改正する法律の施行に伴う国土交通省関係省令の整備等に関する省令,令和元年国土交通省令第四十七号,令和元年十二月十六日,令和元年十二月十六日,,132M10001000024,https://elaws.e-gov.go.jp/document?lawid=132M10001000024_20191216_501M60000800047,,
府省令,令和二年国土交通省令第九十五号,船員法第一条第二項第三号の漁船の範囲を定める政令第二号の漁船の範囲を定める省令,せんいんほうだいいちじょうだいにこうだいさんごうのぎょせんのはんいをさだめるせいれいだいにごうのぎょせんのはんいをさだめるしょうれい,,令和二年十一月三十日,,,,令和二年十二月一日,,502M60000800095,https://elaws.e-gov.go.jp/document?lawid=502M60000800095_20201201_000000000000000,,
府省令,昭和八年逓信省令第五十一号,国際信号旗ノ寸法ニ関スル件,こくさいしんごうきのすんぽうにかんするけん,,昭和八年十二月二十三日,平成２８年１０月１日（基準日）現在のデータ,,,,,308M10001000051,https://elaws.e-gov.go.jp/document?lawid=308M10001000051_20161001_000000000000000,,
勅令,昭和九年勅令第十三号,船舶安全法施行令,せんぱくあんぜんほうせこうれい,,昭和九年二月一日,独立行政法人に係る改革を推進するための農林水産省関係法律の整備に関する法律の施行に伴う関係政令の整備及び経過措置に関する政令,平成二十八年政令第八十六号,平成二十八年三月三十日,平成二十八年四月一日,,309IO0000000013,https://elaws.e-gov.go.jp/document?lawid=309IO0000000013_20160401_428CO0000000086,,
府省令,昭和九年逓信省・農林省令,漁船特殊規則,ぎょせんとくしゅきそく,,昭和九年二月五日,平成２８年１０月１日（基準日）現在のデータ,,,,,309M10011000000,https://elaws.e-gov.go.jp/document?lawid=309M10011000000_20161001_000000000000000,,
府省令,昭和十一年逓信省令第七十一号,英国船舶ノ検査ニ関スル件,えいこくせんぱくのけんさにかんするけん,,昭和十一年十二月一日,平成２８年１０月１日（基準日）現在のデータ,,,,,311M10001000071,https://elaws.e-gov.go.jp/document?lawid=311M10001000071_20161001_000000000000000,,
府省令,昭和十二年逓信省令第三十一号,船用品試験機試験規程,ふねようひんしけんきしけんきてい,,昭和十二年四月七日,平成２８年１０月１日（基準日）現在のデータ,,,,,312M10001000031,https://elaws.e-gov.go.jp/document?lawid=312M10001000031_20161001_000000000000000,,
府省令,大正九年逓信省令第七十五号,船用品検査試験規則,ふねようひんけんさしけんきそく,,大正九年九月十一日,不正競争防止法等の一部を改正する法律の施行に伴う国土交通省関係省令の整理等に関する省令,令和元年国土交通省令第二十号,令和元年六月二十八日,令和元年七月一日,,209M10001000075,https://elaws.e-gov.go.jp/document?lawid=209M10001000075_20190701_501M60000800020,,
法律,昭和二十二年法律第百三十五号,海難審判法,かいなんしんぱんほう,,昭和二十二年十一月十九日,行政不服審査法の施行に伴う関係法律の整備等に関する法律,平成二十六年法律第六十九号,平成二十六年六月十三日,平成二十八年四月一日,,322AC0000000135,https://elaws.e-gov.go.jp/document?lawid=322AC0000000135_20160401_426AC0000000069,,
府省令,明治四十五年逓信省令第三十三号,明治四十五年逓信省令第三十三号（船舶積量互認ノ件ニ関シ帝国政府ト和蘭国政府トノ間ニ取極ヲ為シタル条規）,せんぱくせきりょうごにんのけんにかんしていこくせいふとおらんだこくせいふとのあいだにとりきめをなしたるじょうき,,明治四十五年六月十五日,平成２８年１０月１日（基準日）現在のデータ,,,,,145M10001000033,https://elaws.e-gov.go.jp/document?lawid=145M10001000033_20161001_000000000000000,,
政令,昭和二十三年政令第五十四号,海難審判法施行令,かいなんしんぱんほうせこうれい,,昭和二十三年三月六日,独立行政法人に係る改革を推進するための国土交通省関係法律の整備に関する法律の施行に伴う関係政令の整備及び経過措置に関する政令,平成二十八年政令第五十七号,平成二十八年三月九日,平成二十八年四月一日,,323CO0000000054,https://elaws.e-gov.go.jp/document?lawid=323CO0000000054_20160401_428CO0000000057,,
政令,昭和二十三年政令第百六十四号,船員法第一条第二項第二号の港の区域の特例に関する政令,せんいんほうだいいちじょうだいにこうだいにごうのみなとのくいきのとくれいにかんするせいれい,,昭和二十三年七月十五日,平成２７年８月１日（基準日）現在のデータ,,,,,323CO0000000164,https://elaws.e-gov.go.jp/document?lawid=323CO0000000164_20150801_000000000000000,,
府省令,昭和二十三年運輸省令第八号,海難審判法施行規則,かいなんしんぱんほうせこうきそく,,昭和二十三年四月二日,情報通信技術の活用による行政手続等に係る関係者の利便性の向上並びに行政運営の簡素化及び効率化を図るための行政手続等における情報通信の技術の利用に関する法律等の一部を改正する法律の施行に伴う国土交通省関係省令の整備等に関する省令,令和元年国土交通省令第四十七号,令和元年十二月十六日,令和元年十二月十六日,,323M40000800008,https://elaws.e-gov.go.jp/document?lawid=323M40000800008_20191216_501M60000800047,,
府省令,大正十一年逓信省令第四十五号,大正十一年逓信省令第四十五号（船舶満載吃水線証書互認ノ件ニ関シ帝国政府ト独逸国政府トノ間ニ取極ヲ為シタル条規）,せんぱくまんさいきっすいせんしょうしょごにんのけんにかんしていこくせいふとどいつこくせいふとのあいだにとりきめをなしたるじょうき,,大正十一年八月一日,平成２８年１０月１日（基準日）現在のデータ,,,,,211M10001000045,https://elaws.e-gov.go.jp/document?lawid=211M10001000045_20161001_000000000000000,,
府省令,大正十一年逓信省令第五十六号,大正十一年逓信省令第五十六号（船舶積量互認ノ件ニ関シ帝国政府ト丁抹国政府トノ間ニ取極ヲ為シタル条規）,せんぱくせきりょうごにんのけんにかんしていこくせいふとでんまーくこくせいふとのあいだにとりきめをなしたるじょうき,,大正十一年九月十八日,平成２８年１０月１日（基準日）現在のデータ,,,,,211M10001000056,https://elaws.e-gov.go.jp/document?lawid=211M10001000056_20161001_000000000000000,,
法律,昭和二十五年法律第百二号,水路業務法,すいろぎょうむほう,,昭和二十五年四月十七日,漁業法等の一部を改正する等の法律,平成三十年法律第九十五号,平成三十年十二月十四日,令和二年十二月一日,,325AC0000000102,https://elaws.e-gov.go.jp/document?lawid=325AC0000000102_20201201_430AC0000000095,,
法律,昭和二十五年法律第百二十九号,造船法,ぞうせんほう,,昭和二十五年五月一日,平成２７年８月１日（基準日）現在のデータ,,,,,325AC0000000129,https://elaws.e-gov.go.jp/document?lawid=325AC0000000129_20150801_000000000000000,,
府省令,大正十二年逓信省令第五十二号,大正十二年逓信省令第五十二号（船舶積量互認ノ件ニ関シ帝国政府ト英国政府トノ間ニ取極ヲ為シタル条規）,せんぱくせきりょうごにんのけんにかんしていこくせいふとえいこくせいふとのあいだにとりきめをなしたるじょうき,,大正十二年六月八日,平成２８年１０月１日（基準日）現在のデータ,,,,,212M10001000052,https://elaws.e-gov.go.jp/document?lawid=212M10001000052_20161001_000000000000000,,
府省令,昭和四年逓信省令第十七号,昭和四年逓信省令第十七号（船舶積量ニ関シ独逸国船舶取扱ニ関スル件）,せんぱくせきりょうにかんしどいつこくせんぱくとりあつかいにかんするけん,,昭和四年六月一日,平成２８年１０月１日（基準日）現在のデータ,,,,,304M10001000017,https://elaws.e-gov.go.jp/document?lawid=304M10001000017_20161001_000000000000000,,
府省令,昭和二十四年運輸省令第三十号,航路標識法施行規則,こうろひょうしきほうせこうきそく,,昭和二十四年六月二十五日,不正競争防止法等の一部を改正する法律の施行に伴う国土交通省関係省令の整理等に関する省令,令和元年国土交通省令第二十号,令和元年六月二十八日,令和元年七月一日,,324M50000800030,https://elaws.e-gov.go.jp/document?lawid=324M50000800030_20190701_501M60000800020,,
府省令,大正十四年逓信省令第八十七号,大正十四年逓信省令第八十七号（仏蘭西国船舶ノ検査ニ関スル件）,ふらんすくにせんぱくのけんさにかんするけん,,大正十四年十二月一日,平成２８年１０月１日（基準日）現在のデータ,,,,,214M10001000087,https://elaws.e-gov.go.jp/document?lawid=214M10001000087_20161001_000000000000000,,
府省令,大正十五年逓信省令第二十四号,大正十五年逓信省令第二十四号（船舶満載吃水線証書互認ノ件ニ関シ帝国政府ト丁抹国政府トノ間ニ為シタル取極ニ関スル件）,せんぱくまんさいきっすいせんしょうしょごにんのけんにかんしていこくせいふとでんまーくこくせいふとのかんにためしたるしゅきょくにかんするけん,,大正十五年六月二十五日,平成２８年１０月１日（基準日）現在のデータ,,,,,215M10001000024,https://elaws.e-gov.go.jp/document?lawid=215M10001000024_20161001_000000000000000,,
政令,昭和二十五年政令第二百七十七号,船主相互保険組合法施行令,せんしゅそうごほけんくみあいほうせこうれい,,昭和二十五年八月二十六日,平成２７年８月１日（基準日）現在のデータ,,,,,325CO0000000277,https://elaws.e-gov.go.jp/document?lawid=325CO0000000277_20150801_000000000000000,,
府省令,昭和二十五年運輸省令第四十二号,造船法施行規則,ぞうせんほうせこうきそく,,昭和二十五年六月十六日,不正競争防止法等の一部を改正する法律の施行に伴う国土交通省関係省令の整理等に関する省令,令和元年国土交通省令第二十号,令和元年六月二十八日,令和元年七月一日,,325M50000800042,https://elaws.e-gov.go.jp/document?lawid=325M50000800042_20190701_501M60000800020,,
府省令,昭和二十五年運輸省令第五十五号,水路業務法施行規則,すいろぎょうむほうせこうきそく,,昭和二十五年七月二十六日,不正競争防止法等の一部を改正する法律の施行に伴う国土交通省関係省令の整理等に関する省令,令和元年国土交通省令第二十号,令和元年六月二十八日,令和元年七月一日,,325M50000800055,https://elaws.e-gov.go.jp/document?lawid=325M50000800055_20190701_501M60000800020,,
府省令,昭和二十五年大蔵省・運輸省令第二号,船主相互保険組合法施行規則,せんしゅそうごほけんくみあいほうせこうきそく,,昭和二十五年十月二日,無尽業法施行細則等の一部を改正する内閣府令,令和二年内閣府令第七十五号,令和二年十二月二十三日,令和二年十二月二十三日,,325M50000840002,https://elaws.e-gov.go.jp/document?lawid=325M50000840002_20201223_502M60000002075,,
法律,昭和二十六年法律第三十二号,海事代理士法,かいじだいりしほう,,昭和二十六年三月二十三日,成年被後見人等の権利の制限に係る措置の適正化等を図るための関係法律の整備に関する法律,令和元年法律第三十七号,令和元年六月十四日,令和元年九月十四日,,326AC0000000032,https://elaws.e-gov.go.jp/document?lawid=326AC0000000032_20190914_501AC0000000037,,
法律,昭和二十六年法律第三十二号,海事代理士法,かいじだいりしほう,,昭和二十六年三月二十三日,船舶の再資源化解体の適正な実施に関する法律,平成三十年法律第六十一号,平成三十年六月二十日,令和九十九年十二月三十一日,条約が日本国について効力を生ずる日,326AC0000000032,https://elaws.e-gov.go.jp/document?lawid=326AC0000000032_21171231_430AC0000000061,○,
法律,昭和二十六年法律第百四十九号,船舶職員及び小型船舶操縦者法,せんぱくしょくいんおよびこがたせんぱくそうじゅうしゃほう,,昭和二十六年四月十六日,行政不服審査法の施行に伴う関係法律の整備等に関する法律,平成二十六年法律第六十九号,平成二十六年六月十三日,平成二十八年四月一日,,326AC0000000149,https://elaws.e-gov.go.jp/document?lawid=326AC0000000149_20160401_426AC0000000069,,
法律,昭和二十六年法律第百四十九号,船舶職員及び小型船舶操縦者法,せんぱくしょくいんおよびこがたせんぱくそうじゅうしゃほう,,昭和二十六年四月十六日,民法の一部を改正する法律,平成三十年法律第五十九号,平成三十年六月二十日,令和四年四月一日,,326AC0000000149,https://elaws.e-gov.go.jp/document?lawid=326AC0000000149_20220401_430AC0000000059,○,
法律,昭和二十六年法律第七十三号,北海道開発のためにする港湾工事に関する法律,ほっかいどうかいはつのためにするこうわんこうじにかんするほうりつ,,昭和二十六年三月三十一日,平成２７年８月１日（基準日）現在のデータ,,,,,326AC1000000073,https://elaws.e-gov.go.jp/document?lawid=326AC1000000073_20150801_000000000000000,,
法律,昭和二十六年法律第百六十一号,港湾運送事業法,こうわんうんそうじぎょうほう,,昭和二十六年五月二十九日,成年被後見人等の権利の制限に係る措置の適正化等を図るための関係法律の整備に関する法律,令和元年法律第三十七号,令和元年六月十四日,令和元年六月十四日,,326AC1000000161,https://elaws.e-gov.go.jp/document?lawid=326AC1000000161_20190614_501AC0000000037,,
政令,昭和二十六年政令第二百十五号,港湾運送事業法施行令,こうわんうんそうじぎょうほうせこうれい,,昭和二十六年六月十四日,平成２７年８月１日（基準日）現在のデータ,,,,,326CO0000000215,https://elaws.e-gov.go.jp/document?lawid=326CO0000000215_20150801_000000000000000,,
府省令,昭和二十六年運輸省令第八十一号,海事代理士試験規程,かいじだいりししけんきてい,,昭和二十六年八月三十日,国土交通省関係船舶の再資源化解体の適正な実施に関する法律施行規則,平成三十一年国土交通省令第十二号,平成三十一年三月二十六日,平成三十一年四月一日,,326M50000800081,https://elaws.e-gov.go.jp/document?lawid=326M50000800081_20190401_431M60000800012,,
法律,昭和二十七年法律第三十五号,海外からの日本国民の集団的引揚輸送のための航海命令に関する法律,かいがいからのにほんこくみんのしゅうだんてきひきようゆそうのためのこうかいめいれいにかんするほうりつ,,昭和二十七年三月三十一日,平成２７年８月１日（基準日）現在のデータ,,,,,327AC0000000035,https://elaws.e-gov.go.jp/document?lawid=327AC0000000035_20150801_000000000000000,,
法律,昭和二十七年法律第七十二号,ポツダム宣言の受諾に伴い発する命令に関する件に基く運輸省関係諸命令の措置に関する法律,ぽつだむせんげんのじゅだくにともないはっするめいれいにかんするけんにもとづくうんゆしょうかんけいしょめいれいのそちにかんするほうりつ,,昭和二十七年四月五日,平成２７年８月１日（基準日）現在のデータ,,,,,327AC0000000072,https://elaws.e-gov.go.jp/document?lawid=327AC0000000072_20150801_000000000000000,,
法律,昭和二十七年法律第百二十四号,日本国とアメリカ合衆国との間の相互協力及び安全保障条約第六条に基づく施設及び区域並びに日本国における合衆国軍隊の地位に関する協定及び日本国における国際連合の軍隊の地位に関する協定の実施に伴う水先法の特例に関する法律,にほんこくとあめりかがっしゅうこくとのあいだのそうごきょうりょくおよびあんぜんほしょうじょうやくだいろくじょうにもとづくしせつおよびくいきならびににほんこくにおけるがっしゅうこくぐんたいのちいにかんするきょうていおよびにほんこくにおけるこくさいれんごうのぐんたいのちいにかんするきょうていのじっしにともなうみずさきほうのとくれいにかんするほうりつ,,昭和二十七年四月二十八日,平成２７年８月１日（基準日）現在のデータ,,,,,327AC0000000124,https://elaws.e-gov.go.jp/document?lawid=327AC0000000124_20150801_000000000000000,,
府省令,昭和二十六年運輸省令第四十二号,海事代理士法施行規則,かいじだいりしほうせこうきそく,,昭和二十六年五月三十一日,情報通信技術の活用による行政手続等に係る関係者の利便性の向上並びに行政運営の簡素化及び効率化を図るための行政手続等における情報通信の技術の利用に関する法律等の一部を改正する法律の施行に伴う国土交通省関係省令の整備等に関する省令,令和元年国土交通省令第四十七号,令和元年十二月十六日,令和元年十二月十六日,,326M50000800042,https://elaws.e-gov.go.jp/document?lawid=326M50000800042_20191216_501M60000800047,,
法律,昭和二十七年法律第二百二十六号,離島航路整備法,りとうこうろせいびほう,,昭和二十七年七月四日,平成２７年８月１日（基準日）現在のデータ,,,,,327AC1000000226,https://elaws.e-gov.go.jp/document?lawid=327AC1000000226_20150801_000000000000000,,
法律,昭和二十年運輸省令第四十号,昭和二十年運輸省令第四十号（航海ノ制限等ニ関スル件）,こうかいのせいげんとうにかんするけん,,昭和二十年十一月二十五日,平成２８年１０月１日（基準日）現在のデータ,,,,,320M20000800040,https://elaws.e-gov.go.jp/document?lawid=320M20000800040_20161001_000000000000000,,
法律,昭和二十七年法律第百五十一号,内航海運業法,ないこうかいうんぎょうほう,,昭和二十七年五月二十七日,商法及び国際海上物品運送法の一部を改正する法律,平成三十年法律第二十九号,平成三十年五月二十五日,平成三十一年四月一日,,327AC1000000151,https://elaws.e-gov.go.jp/document?lawid=327AC1000000151_20190401_430AC0000000029,,
府省令,昭和二十七年運輸省令第七十一号,離島航路整備法施行規則,りとうこうろせいびほうせこうきそく,,昭和二十七年八月二十五日,平成２８年１０月１日（基準日）現在のデータ,,,,,327M50000800071,https://elaws.e-gov.go.jp/document?lawid=327M50000800071_20161001_000000000000000,,
法律,昭和二十八年法律第一号,外航船舶建造融資利子補給臨時措置法,がいこうせんはくけんぞうゆうしりしほきゅうりんじそちほう,,昭和二十八年一月五日,平成２７年８月１日（基準日）現在のデータ,,,,,328AC0000000001,https://elaws.e-gov.go.jp/document?lawid=328AC0000000001_20150801_000000000000000,,
法律,昭和二十八年法律第百四十九号,臨時船舶建造調整法,りんじせんぱくけんぞうちょうせいほう,,昭和二十八年八月一日,行政不服審査法の施行に伴う関係法律の整備等に関する法律,平成二十六年法律第六十九号,平成二十六年六月十三日,平成二十八年四月一日,,328AC0000000149,https://elaws.e-gov.go.jp/document?lawid=328AC0000000149_20160401_426AC0000000069,,
法律,昭和二十八年法律第百七十号,港湾整備促進法,こうわんせいびそくしんほう,,昭和二十八年八月五日,平成２７年８月１日（基準日）現在のデータ,,,,,328AC0000000170,https://elaws.e-gov.go.jp/document?lawid=328AC0000000170_20150801_000000000000000,,
法律,昭和二十八年法律第三十三号,海上保安官に協力援助した者等の災害給付に関する法律,かいじょうほあんかんにきょうりょくえんじょしたものとうのさいがいきゅうふにかんするほうりつ,,昭和二十八年四月一日,平成２７年８月１日（基準日）現在のデータ,,,,,328AC1000000033,https://elaws.e-gov.go.jp/document?lawid=328AC1000000033_20150801_000000000000000,,
政令,昭和二十八年政令第百八十八号,臨時船舶建造調整法施行令,りんじせんぱくけんぞうちょうせいほうせこうれい,,昭和二十八年八月十三日,平成２７年８月１日（基準日）現在のデータ,,,,,328CO0000000188,https://elaws.e-gov.go.jp/document?lawid=328CO0000000188_20150801_000000000000000,,
政令,昭和二十八年政令第二百三十七号,水難救護法施行令,すいなんきゅうごほうせこうれい,,昭和二十八年八月三十一日,平成２７年８月１日（基準日）現在のデータ,,,,,328CO0000000237,https://elaws.e-gov.go.jp/document?lawid=328CO0000000237_20150801_000000000000000,,
政令,昭和二十八年政令第二百五十九号,小型漁船の総トン数の測度に関する政令,こがたぎょせんのそうとんすうのそくどにかんするせいれい,,昭和二十八年八月三十一日,平成２７年８月１日（基準日）現在のデータ,,,,,328CO0000000259,https://elaws.e-gov.go.jp/document?lawid=328CO0000000259_20150801_000000000000000,,
政令,昭和二十八年政令第二百六十号,船員法第百四条第一項の規定により市町村が処理する事務に関する政令,せんいんほうだいひゃくしじょうだいいっこうのきていによりしちょうそんがしょりするじむにかんするせいれい,,昭和二十八年八月三十一日,平成２７年８月１日（基準日）現在のデータ,,,,,328CO0000000260,https://elaws.e-gov.go.jp/document?lawid=328CO0000000260_20150801_000000000000000,,
政令,昭和二十八年政令第二百八十号,港湾整備促進法施行令,こうわんせいびそくしんほうせこうれい,,昭和二十八年九月十五日,平成２７年８月１日（基準日）現在のデータ,,,,,328CO0000000280,https://elaws.e-gov.go.jp/document?lawid=328CO0000000280_20150801_000000000000000,,
府省令,昭和二十七年運輸省令第九十七号,船舶区画規程,せんぱくくかくきてい,,昭和二十七年十一月十四日,船舶設備規程等の一部を改正する省令,令和元年国土交通省令第四十六号,令和元年十二月十六日,令和二年一月一日,,327M50000800097,https://elaws.e-gov.go.jp/document?lawid=327M50000800097_20200101_501M60000800046,,
府省令,昭和二十八年運輸省令第四十二号,臨時船舶建造調整法施行規則,りんじせんぱくけんぞうちょうせいほうせこうきそく,,昭和二十八年八月十四日,平成２８年１０月１日（基準日）現在のデータ,,,,,328M50000800042,https://elaws.e-gov.go.jp/document?lawid=328M50000800042_20161001_000000000000000,,
府省令,昭和二十八年運輸省令第四十六号,小型漁船の総トン数の測度に関する省令,こがたぎょせんのそうとんすうのそくどにかんするしょうれい,,昭和二十八年八月三十一日,不正競争防止法等の一部を改正する法律の施行に伴う国土交通省関係省令の整理等に関する省令,令和元年国土交通省令第二十号,令和元年六月二十八日,令和元年七月一日,,328M50000800046,https://elaws.e-gov.go.jp/document?lawid=328M50000800046_20190701_501M60000800020,,
府省令,昭和二十八年運輸省令第五十一号,外航船舶建造融資利子補給臨時措置法施行規則,がいこうせんはくけんぞうゆうしりしほきゅうりんじそちほうせこうきそく,,昭和二十八年九月二十九日,平成２８年１０月１日（基準日）現在のデータ,,,,,328M50000800051,https://elaws.e-gov.go.jp/document?lawid=328M50000800051_20161001_000000000000000,,
政令,昭和三十年政令第二百七十六号,海上運送法施行令,かいじょううんそうほうせこうれい,,昭和三十年十月七日,海上運送法施行令及び船員法関係手数料令の一部を改正する政令,平成二十九年政令第百六十二号,平成二十九年六月十六日,平成二十九年十月一日,,330CO0000000276,https://elaws.e-gov.go.jp/document?lawid=330CO0000000276_20171001_429CO0000000162,,
