法令種別,法令番号,法令名,法令名読み,旧法令名,公布日,改正法令名,改正法令番号,改正法令公布日,施行日,施行日備考,法令ID,本文URL,未施行,所管課確認中
府省令,平成十三年財務省令第七号,平成十二年度の水田農業経営確立助成補助金等についての所得税及び法人税の臨時特例に関する法律施行規則,へいせいじゅうにねんどのすいでんのうぎょうけいえいかくりつじょせいほじょきんとうについてのしょとくぜいおよびほうじんぜいのりんじとくれいにかんするほうりつせこうきそく,,平成十三年二月二十日,平成２９年６月１日（基準日）現在のデータ,,平成二十九年六月一日,,,413M60000040007,https://elaws.e-gov.go.jp/document?lawid=413M60000040007_20170601_999M60000040007,,
勅令,明治三十三年勅令第五十二号,国税犯則取締法施行規則,こくぜいはんそくとりしましほうせこうきそく,,明治三十三年三月二十三日,,平成二十九年政令第百十三号,平成二十九年三月三十一日,平成三十年四月一日,,133IO0000000052,https://elaws.e-gov.go.jp/document?lawid=133IO0000000052_20180401_429CO0000000113,○,
法律,明治三十三年法律第六十七号,国税犯則取締法,こくぜいはんそくとりしまりほう,,明治三十三年三月十七日,,平成二十九年法律第四号,平成二十九年三月三十一日,平成三十年四月一日,,133AC0000000067,https://elaws.e-gov.go.jp/document?lawid=133AC0000000067_20180401_429AC0000000004,○,
法律,明治四十三年法律第五十四号,関税定率法,かんぜいていりつほう,,明治四十三年四月十五日,関税定率法等の一部を改正する法律,令和二年法律第九号,令和二年三月三十一日,令和二年四月一日,,143AC0000000054,https://elaws.e-gov.go.jp/document?lawid=143AC0000000054_20200401_502AC0000000009,,
府省令,平成十二年大蔵省令第四号,平成十一年度の緊急生産調整推進対策水田営農確立助成補助金等についての所得税及び法人税の臨時特例に関する法律施行規則,へいせいじゅういちねんどのきんきゅうせいさんちょうせいすいしんたいさくすいでんえいのうかくりつじょせいほじょきんとうについてのしょとくぜいおよびほうじんぜいのりんじとくれいにかんするほうりつせこうきそく,,平成十二年二月十八日,平成２９年６月１日（基準日）現在のデータ,,平成二十九年六月一日,,,412M50000040004,https://elaws.e-gov.go.jp/document?lawid=412M50000040004_20170601_999M50000040004,,
府省令,平成十三年財務省令第五十六号,額面株式の株券の無効手続に伴い作成する株券に係る印紙税の非課税に関する省令,がくめんかぶしきのかぶけんのむこうてつづきにともないさくせいするかぶけんにかかるいんしぜいのひかぜいにかんするしょうれい,,平成十三年九月十四日,平成２９年６月１日（基準日）現在のデータ,,平成二十九年六月一日,,,413M60000040056,https://elaws.e-gov.go.jp/document?lawid=413M60000040056_20170601_999M60000040056,,
府省令,令和二年財務省令第六十号,漁業法等の一部を改正する等の法律の施行に伴う漁業権の耐用年数の経過措置に関する省令,,,令和二年七月八日,,,,令和二年十二月一日,,502M60000040060,https://elaws.e-gov.go.jp/document?lawid=502M60000040060_20201201_000000000000000,,
府省令,平成三十年農林水産省令第四十八号,関税暫定措置法施行令第三十二条第二項第二号の農林水産省令で定める方法を定める省令,かんぜいざんていそちほうせこうれいだいさんじゅうにじょうだいにこうだいにごうののうしんすいさんしょうれいでさだめるほうほうをさだめるしょうれい,,平成三十年七月二十三日,,,,平成三十年十二月三十日,,430M60000200048,https://elaws.e-gov.go.jp/document?lawid=430M60000200048_20181230_000000000000000,,
法律,昭和二十五年法律第百十号,資産再評価法,しさんさいひょうかほう,,昭和二十五年四月二十五日,平成２７年８月１日（基準日）現在のデータ,,,,,325AC0000000110,https://elaws.e-gov.go.jp/document?lawid=325AC0000000110_20150801_000000000000000,,
政令,昭和二十五年政令第九十五号,資産再評価法施行令,しさんさいひょうかほうせこうれい,,昭和二十五年四月二十五日,平成２７年８月１日（基準日）現在のデータ,,,,,325CO0000000095,https://elaws.e-gov.go.jp/document?lawid=325CO0000000095_20150801_000000000000000,,
