法令種別,法令番号,法令名,法令名読み,旧法令名,公布日,改正法令名,改正法令番号,改正法令公布日,施行日,施行日備考,法令ID,本文URL,未施行,所管課確認中
勅令,明治十九年勅令第〇号,メートル条約,めーとるじょうやく,,明治十九年四月二十日,平成２７年８月１日（基準日）現在のデータ,,,,,119IO0000000000,https://elaws.e-gov.go.jp/document?lawid=119IO0000000000_20150801_000000000000000,,
勅令,明治二十年勅令第一号,海底電信線保護万国連合条約ノ説明書,かいていでんしんせんほごばんこくれんごうじょうやくのせつめいしょ,,明治二十年十二月二十二日,平成２７年８月１日（基準日）現在のデータ,,,,,120IO0000000001,https://elaws.e-gov.go.jp/document?lawid=120IO0000000001_20150801_000000000000000,,
勅令,明治二十年勅令第二号,海上法ノ要義ヲ確定スル為メ西暦千八百五十六年四月十六日巴里公会ニ於テ決定セシ宣言,かいじょうほうのようぎをかくていするためせいれき１８５６ねん４がつ１６にちぱりこうかいにおいてけっていせしせんげん,,明治二十年三月二十四日,平成２７年８月１日（基準日）現在のデータ,,,,,120IO0000000002,https://elaws.e-gov.go.jp/document?lawid=120IO0000000002_20150801_000000000000000,,
勅令,明治三十三年勅令第一号,窒息セシムヘキ瓦斯又ハ有毒質ノ瓦斯ヲ散布スルヲ唯一ノ目的トスル投射物ノ使用ヲ各自ニ禁止スル宣言書,ちっそくせしむへきがすまたはゆうどくしつのがすをさんぷするをゆいいつのもくてきとするとうしゃもののしようをかくじにきんしするせんげんしょ,,明治三十三年十一月二十二日,平成２７年８月１日（基準日）現在のデータ,,,,,133IO0000000001,https://elaws.e-gov.go.jp/document?lawid=133IO0000000001_20150801_000000000000000,,
勅令,明治三十三年勅令第二号,外包硬固ナル弾丸ニシテ其ノ外包中心ノ全部ヲ蓋包セス若ハ其ノ外包ニ截刻ヲ施シタルモノノ如キ人体内ニ入テ容易ニ開展シ又ハ扁平ト為ルヘキ弾丸ノ使用ヲ各自ニ禁止スル宣言書,がいほうこうこなるだんがんにしてそのがいほうちゅうしんのぜんぶをがいほうせすもしくはそのがいほうにせつこくをほどこしたるもののごときじんたいないにいりてよういにかいてんしまたはへんぺいなるへきだんがんのしようをかくじにきんしするせんげんしょ,,明治三十三年十一月二十二日,平成２７年８月１日（基準日）現在のデータ,,,,,133IO0000000002,https://elaws.e-gov.go.jp/document?lawid=133IO0000000002_20150801_000000000000000,,
勅令,明治三十四年勅令第一号,日西特別通商条約,にっせいとくべつつうしょうじょうやく,,明治三十四年四月八日,平成２７年８月１日（基準日）現在のデータ,,,,,134IO0000000001,https://elaws.e-gov.go.jp/document?lawid=134IO0000000001_20150801_000000000000000,,
法律,昭和二十三年政令第二百九十八号,連合国財産上の家屋等の譲渡等に関する政令,れんごうこくざいさんじょうのかおくとうのじょうととうにかんするせいれい,,昭和二十三年九月二十二日,平成２７年８月１日（基準日）現在のデータ,,,,,323CO0000000298,https://elaws.e-gov.go.jp/document?lawid=323CO0000000298_20150801_000000000000000,,
法律,昭和二十四年政令第三百十号,連合国財産である株式の回復に関する政令,れんごうこくざいさんであるかぶしきのかいふくにかんするせいれい,,昭和二十四年八月十八日,平成２７年８月１日（基準日）現在のデータ,,,,,324CO0000000310,https://elaws.e-gov.go.jp/document?lawid=324CO0000000310_20150801_000000000000000,,
法律,昭和二十四年政令第三百十一号,外国政府の不動産に関する権利の取得に関する政令,がいこくせいふのふどうさんにかんするけんりのしゅとくにかんするせいれい,,昭和二十四年八月十八日,平成２７年８月１日（基準日）現在のデータ,,,,,324CO0000000311,https://elaws.e-gov.go.jp/document?lawid=324CO0000000311_20150801_000000000000000,,
府省令,昭和二十四年大蔵省令第八十五号,連合国財産である株式の回復に関する政令の施行に関する省令,れんごうこくざいさんであるかぶしきのかいふくにかんするせいれいのせこうにかんするしょうれい,,昭和二十四年九月十日,平成２８年１０月１日（基準日）現在のデータ,,,,,324M50000040085,https://elaws.e-gov.go.jp/document?lawid=324M50000040085_20161001_000000000000000,,
