31,322AC0000000067_20210213_503AC0000000005.sentence.nml.wwakati,522584
31,322CO0000000016_20201209_502CO0000000346.sentence.nml.wwakati,542075
31,322CO0000000019_20180401_430CO0000000092.sentence.nml.wwakati,11961
31,322M40000008029_20210129_503M60000008004.sentence.nml.wwakati,48030
31,325AC0000000261_20200401_429AC0000000029.sentence.nml.wwakati,94861
31,327AC0000000292_20191214_501AC0000000037.sentence.nml.wwakati,39384
31,327CO0000000013_20150801_000000000000000.sentence.nml.wwakati,1152
31,327CO0000000403_20200401_501CO0000000156.sentence.nml.wwakati,49319
31,327M50000002073_20200428_502M60000008046.sentence.nml.wwakati,78520
31,327M50000002074_20161001_000000000000000.sentence.nml.wwakati,8380
31,328AC0000000083_20150801_000000000000000.sentence.nml.wwakati,3698
31,328CO0000000402_20150801_000000000000000.sentence.nml.wwakati,1793
31,331CO0000000254_20150801_000000000000000.sentence.nml.wwakati,726
31,337AC0000000119_20160401_426AC0000000042.sentence.nml.wwakati,7727
31,337AC0000000152_20201001_501AC0000000009.sentence.nml.wwakati,618723
31,337AC0000000153_20170801_424AC0000000062.sentence.nml.wwakati,310461
31,337CO0000000352_20200901_502CO0000000248.sentence.nml.wwakati,511010
31,337M50000008020_20180801_430M60000008052.sentence.nml.wwakati,184429
31,337M5000008a001_20190415_431M6000008a001.sentence.nml.wwakati,341758
31,338CO0000000011_20160401_428CO0000000027.sentence.nml.wwakati,5702
31,339AC0000000106_20160401_427AC0000000063.sentence.nml.wwakati,7334
31,340AC0000000038_20150801_000000000000000.sentence.nml.wwakati,5011
31,340AC1000000118_20150801_000000000000000.sentence.nml.wwakati,595
31,340CO0000000130_20150801_000000000000000.sentence.nml.wwakati,1393
31,340CO0000000278_20150801_000000000000000.sentence.nml.wwakati,1043
31,342AC0000000105_20150801_000000000000000.sentence.nml.wwakati,127124
31,342AC0000000121_20200401_429AC0000000045.sentence.nml.wwakati,78119
31,342CO0000000246_20160401_427CO0000000030.sentence.nml.wwakati,1270
31,342CO0000000274_20180401_429CO0000000296.sentence.nml.wwakati,29045
31,342CO0000000317_20150801_000000000000000.sentence.nml.wwakati,65602
31,342M50000008027_20200401_502M60000008029.sentence.nml.wwakati,67529
31,343CO0000000211_20150801_000000000000000.sentence.nml.wwakati,764
31,343CO0000000212_20190401_431CO0000000038.sentence.nml.wwakati,5371
31,343CO0000000345_20150801_000000000000000.sentence.nml.wwakati,13873
31,343M50000008033_20161001_000000000000000.sentence.nml.wwakati,2960
31,347CO0000000160_20150801_000000000000000.sentence.nml.wwakati,30198
31,348M50000008026_20161001_000000000000000.sentence.nml.wwakati,2195
31,353CO0000000025_20150801_000000000000000.sentence.nml.wwakati,4397
31,354CO0000000314_20150801_000000000000000.sentence.nml.wwakati,3887
31,354CO0000000321_20150801_000000000000000.sentence.nml.wwakati,3698
31,355M50000008001_20161001_000000000000000.sentence.nml.wwakati,704
31,356CO0000000296_20150801_000000000000000.sentence.nml.wwakati,3714
31,356M50000008026_20161001_000000000000000.sentence.nml.wwakati,715
31,357CO0000000003_20150801_000000000000000.sentence.nml.wwakati,1490
31,361CO0000000058_20200415_502CO0000000145.sentence.nml.wwakati,181336
31,362AC0000000067_20150801_000000000000000.sentence.nml.wwakati,1404
31,362AC0000000074_20150801_000000000000000.sentence.nml.wwakati,1418
31,362AC0000000078_20150801_000000000000000.sentence.nml.wwakati,3311
31,362CO0000000220_20150801_000000000000000.sentence.nml.wwakati,8942
31,362M50000008031_20161001_000000000000000.sentence.nml.wwakati,5512
31,402CO0000000057_20150801_000000000000000.sentence.nml.wwakati,10020
31,402CO0000000083_20150801_000000000000000.sentence.nml.wwakati,10806
31,403AC0000000110_20200401_429AC0000000029.sentence.nml.wwakati,16066
31,407CO0000000118_20150801_000000000000000.sentence.nml.wwakati,9401
31,407CO0000000372_20210101_502CO0000000378.sentence.nml.wwakati,15077
31,407CO0000000408_20210401_502CO0000000307.sentence.nml.wwakati,1759
31,408M50000008007_20200401_431M60000008036.sentence.nml.wwakati,737
31,410AC1000000007_20191216_501AC0000000016.sentence.nml.wwakati,71516
31,412AC0000000050_20200401_429AC0000000029.sentence.nml.wwakati,13157
31,412AC0000000051_20150801_000000000000000.sentence.nml.wwakati,5773
31,412CO0000000153_20150801_000000000000000.sentence.nml.wwakati,3971
31,412CO0000000523_20200327_502CO0000000063.sentence.nml.wwakati,7835
31,413AC0000000120_20190620_501AC0000000016.sentence.nml.wwakati,11551
31,413AC0000000147_20200331_502AC0000000011.sentence.nml.wwakati,21878
31,413M60000008158_20190620_501M60000008014.sentence.nml.wwakati,1953
31,413M60000018002_20190620_501M60000018002.sentence.nml.wwakati,2311
31,414AC0000000048_20200401_429AC0000000029.sentence.nml.wwakati,5597
