法令種別,法令番号,法令名,法令名読み,旧法令名,公布日,改正法令名,改正法令番号,改正法令公布日,施行日,施行日備考,法令ID,本文URL,未施行,所管課確認中
府省令,平成十三年経済産業省令第百五号,貿易保険法施行規則,ぼうえきほけんほうせこうきそく,,平成十三年三月二十九日,貿易保険法施行規則の一部を改正する省令,平成三十年経済産業省令第五十二号,平成三十年八月三十一日,平成三十年九月一日,,413M60000400105,https://elaws.e-gov.go.jp/document?lawid=413M60000400105_20180901_430M60000400052,,
法律,昭和二十四年法律第二百二十八号,外国為替及び外国貿易法,がいこくかわせおよびがいこくぼうえきほう,,昭和二十四年十二月一日,外国為替及び外国貿易法の一部を改正する法律,令和元年法律第六十号,令和元年十一月二十九日,令和二年五月八日,,324AC0000000228,https://elaws.e-gov.go.jp/document?lawid=324AC0000000228_20200508_501AC0000000060,,
政令,昭和二十四年政令第四百十四号,輸入貿易管理令,ゆにゅうぼうえきかんりれい,,昭和二十四年十二月二十九日,平成２７年８月１日（基準日）現在のデータ,,,,,324CO0000000414,https://elaws.e-gov.go.jp/document?lawid=324CO0000000414_20150801_000000000000000,,
府省令,昭和二十四年通商産業省令第六十四号,輸出貿易管理規則,ゆしゅつぼうえきかんりきそく,,昭和二十四年十二月一日,押印を求める手続の見直し等のための経済産業省関係省令の一部を改正する省令,令和二年経済産業省令第九十二号,令和二年十二月二十八日,令和二年十二月二十八日,,324M50000400064,https://elaws.e-gov.go.jp/document?lawid=324M50000400064_20201228_502M60000400092,,
府省令,昭和二十四年通商産業省令第七十七号,輸入貿易管理規則,ゆにゅうぼうえきかんりきそく,,昭和二十四年十二月二十九日,押印を求める手続の見直し等のための経済産業省関係省令の一部を改正する省令,令和二年経済産業省令第九十二号,令和二年十二月二十八日,令和二年十二月二十八日,,324M50000400077,https://elaws.e-gov.go.jp/document?lawid=324M50000400077_20201228_502M60000400092,,
府省令,平成十七年経済産業省令第九号,経済連携協定に基づく特定原産地証明書の発給等に関する法律施行規則,けいざいれんけいきょうていにもとづくとくていげんさんちしょうめいしょのはっきゅうとうにかんするほうりつせこうきそく,,平成十七年二月二十五日,不正競争防止法等の一部を改正する法律の施行に伴う経済産業省関係省令の整備に関する省令,令和元年経済産業省令第十七号,令和元年七月一日,令和元年七月一日,,417M60000400009,https://elaws.e-gov.go.jp/document?lawid=417M60000400009_20190701_501M60000400017,,
法律,昭和二十五年法律第六十七号,貿易保険法,ぼうえきほけんほう,,昭和二十五年三月三十一日,会社法の一部を改正する法律の施行に伴う関係法律の整備等に関する法律,令和元年法律第七十一号,令和元年十二月十一日,令和三年三月一日,,325AC0000000067,https://elaws.e-gov.go.jp/document?lawid=325AC0000000067_20210301_501AC0000000071,,
法律,昭和二十五年法律第六十七号,貿易保険法,ぼうえきほけんほう,,昭和二十五年三月三十一日,所得税法等の一部を改正する法律,令和二年法律第八号,令和二年三月三十一日,令和四年四月一日,,325AC0000000067,https://elaws.e-gov.go.jp/document?lawid=325AC0000000067_20220401_502AC0000000008,○,
政令,昭和二十四年政令第三百七十九号,外国為替及び外国貿易法第五十六条の規定による意見の聴取の手続に関する政令,がいこくかわせおよびがいこくぼうえきほうだいごじゅうろくじょうのきていによるいけんのちょうしゅのてつづきにかんするせいれい,,昭和二十四年十二月一日,行政不服審査法及び行政不服審査法の施行に伴う関係法律の整備等に関する法律の施行に伴う関係政令の整備に関する政令,平成二十七年政令第三百九十二号,平成二十七年十一月二十六日,平成二十八年四月一日,,324CO0000000379,https://elaws.e-gov.go.jp/document?lawid=324CO0000000379_20160401_427CO0000000392,,
政令,昭和二十四年政令第三百七十八号,輸出貿易管理令,ゆしゅつぼうえきかんりれい,,昭和二十四年十二月一日,外国為替令及び輸出貿易管理令の一部を改正する政令,令和二年政令第三百三十八号,令和二年十一月二十七日,令和三年一月二十七日,,324CO0000000378,https://elaws.e-gov.go.jp/document?lawid=324CO0000000378_20210127_502CO0000000338,,
政令,昭和二十四年政令第三百七十八号,輸出貿易管理令,ゆしゅつぼうえきかんりれい,,昭和二十四年十二月一日,船舶の再資源化解体の適正な実施に関する法律施行令,平成三十一年政令第十一号,平成三十一年一月二十三日,令和九十九年十二月三十一日,法の施行の日,324CO0000000378,https://elaws.e-gov.go.jp/document?lawid=324CO0000000378_21171231_431CO0000000011,○,
法律,昭和二十七年法律第二百九十九号,輸出入取引法,ゆしゅつにゅうとりひきほう,,昭和二十七年八月五日,会社法の一部を改正する法律の施行に伴う関係法律の整備等に関する法律,令和元年法律第七十一号,令和元年十二月十一日,令和三年三月一日,,327AC0000000299,https://elaws.e-gov.go.jp/document?lawid=327AC0000000299_20210301_501AC0000000071,,
政令,昭和二十七年政令第百二十七号,日本国とアメリカ合衆国との間の相互協力及び安全保障条約第六条に基づく施設及び区域並びに日本国における合衆国軍隊の地位に関する協定の実施に伴う外国為替令等の臨時特例に関する政令,にほんこくとあめりかがっしゅうこくとのあいだのそうごきょうりょくおよびあんぜんほしょうじょうやくだいろくじょうにもとづくしせつおよびくいきならびににほんこくにおけるがっしゅうこくぐんたいのちいにかんするきょうていのじっしにともなうがいこくかわせれいとうのりんじとくれいにかんするせいれい,,昭和二十七年四月二十八日,平成２７年８月１日（基準日）現在のデータ,,,,,327CO0000000127,https://elaws.e-gov.go.jp/document?lawid=327CO0000000127_20150801_000000000000000,,
法律,昭和二十八年法律第五十一号,国際復興開発銀行等からの外資の受入に関する特別措置に関する法律,こくさいふっこうかいはつぎんこうとうからのがいしのうけいれにかんするとくべつそちにかんするほうりつ,,昭和二十八年七月四日,平成２７年８月１日（基準日）現在のデータ,,,,,328AC0000000051,https://elaws.e-gov.go.jp/document?lawid=328AC0000000051_20150801_000000000000000,,
政令,昭和二十八年政令第百四十一号,貿易保険法施行令,ぼうえきほけんほうせこうれい,,昭和二十八年七月三十一日,貿易保険法施行令の一部を改正する政令,令和元年政令第五十六号,令和元年七月十二日,令和元年七月十二日,,328CO0000000141,https://elaws.e-gov.go.jp/document?lawid=328CO0000000141_20190712_501CO0000000056,,
政令,昭和二十八年政令第百四十一号,貿易保険法施行令,ぼうえきほけんほうせこうれい,,昭和二十八年七月三十一日,法人税法施行令等の一部を改正する政令,令和二年政令第二百七号,令和二年六月二十六日,令和四年四月一日,,328CO0000000141,https://elaws.e-gov.go.jp/document?lawid=328CO0000000141_20220401_502CO0000000207,○,
政令,昭和二十九年政令第百二十九号,日本国における国際連合の軍隊の地位に関する協定の実施に伴う外国為替令等の臨時特例に関する政令,にほんこくにおけるこくさいれんごうのぐんたいのちいにかんするきょうていのじっしにともなうがいこくかわせれいとうのりんじとくれいにかんするせいれい,,昭和二十九年六月一日,平成２７年８月１日（基準日）現在のデータ,,,,,329CO0000000129,https://elaws.e-gov.go.jp/document?lawid=329CO0000000129_20150801_000000000000000,,
政令,昭和三十年政令第二百四十四号,輸出入取引法施行令,ゆしゅつにゅうとりひきほうせこうれい,,昭和三十年九月十二日,平成２７年８月１日（基準日）現在のデータ,,,,,330CO0000000244,https://elaws.e-gov.go.jp/document?lawid=330CO0000000244_20150801_000000000000000,,
