法令種別,法令番号,法令名,法令名読み,旧法令名,公布日,改正法令名,改正法令番号,改正法令公布日,施行日,施行日備考,法令ID,本文URL,未施行,所管課確認中
政令,平成三十年政令第三百三十六号,地方公共団体の議会の議員及び長の任期満了による選挙等の期日等の臨時特例に関する法律施行令,ちほうこうきょうだんたいのぎかいのぎいんおよびちょうのにんきまんりょうによるせんきょとうのきじつとうのりんじとくれいにかんするほうりつせこうれい,,平成三十年十二月十四日,,,,平成三十年十二月十四日,,430CO0000000336,https://elaws.e-gov.go.jp/document?lawid=430CO0000000336_20181214_000000000000000,,
法律,大正三年法律第三十七号,大正三年法律第三十七号（公共団体ノ管理スル公共用土地物件ノ使用ニ関スル法律）,こうきょうだんたいのかんりするこうきょうようとちぶっけんのしようにかんするほうりつ,,大正三年四月四日,平成２７年８月１日（基準日）現在のデータ,,,,,203AC0000000037,https://elaws.e-gov.go.jp/document?lawid=203AC0000000037_20150801_000000000000000,,
政令,昭和二十二年政令第十六号,地方自治法施行令,ちほうじちほうせこうれい,,昭和二十二年五月三日,予防接種法及び検疫法の一部を改正する法律の施行に伴う関係政令の整備に関する政令,令和二年政令第三百四十六号,令和二年十二月九日,令和二年十二月九日,,322CO0000000016,https://elaws.e-gov.go.jp/document?lawid=322CO0000000016_20201209_502CO0000000346,,○
政令,昭和二十二年政令第十九号,地方自治法施行規程,ちほうじちほうせこうきてい,,昭和二十二年五月三日,地方自治法施行令等の一部を改正する政令,平成三十年政令第九十二号,平成三十年三月三十日,平成三十年四月一日,,322CO0000000019,https://elaws.e-gov.go.jp/document?lawid=322CO0000000019_20180401_430CO0000000092,,
府省令,昭和二十二年内務省令第二十九号,地方自治法施行規則,ちほうじちほうせこうきそく,,昭和二十二年五月三日,地方自治法施行規則の一部を改正する省令,令和三年総務省令第四号,令和三年一月二十九日,令和三年一月二十九日,,322M40000008029,https://elaws.e-gov.go.jp/document?lawid=322M40000008029_20210129_503M60000008004,,
府省令,平成三十年国土交通省令第七十六号,国土交通省関係構造改革特別区域法第三十四条に規定する政令等規制事業に係る省令の特例に関する措置を定める省令,こくどこうつうしょうかんけいこうぞうかいかくとくべつくいきほうだいさんじゅうよんじょうにきていするせいれいとうきせいじぎょうにかかるしょうれいのとくれいにかんするそちをさだめるしょうれい,,平成三十年九月二十八日,,,,平成三十年九月二十八日,,430M60000800076,https://elaws.e-gov.go.jp/document?lawid=430M60000800076_20180928_000000000000000,,
法律,昭和二十五年法律第二百六十一号,地方公務員法,ちほうこうむいんほう,,昭和二十五年十二月十三日,地方公務員法及び地方自治法の一部を改正する法律,平成二十九年法律第二十九号,平成二十九年五月十七日,令和二年四月一日,,325AC0000000261,https://elaws.e-gov.go.jp/document?lawid=325AC0000000261_20200401_429AC0000000029,,
府省令,平成十六年総務省令第五十一号,地方独立行政法人法施行規則,ちほうどくりつぎょうせいほうじんほうせこうきそく,,平成十六年三月二十四日,地方独立行政法人法施行規則の一部を改正する省令,平成二十九年総務省令第七十八号,平成二十九年十二月一日,平成三十年四月一日,,416M60000008051,https://elaws.e-gov.go.jp/document?lawid=416M60000008051_20180401_429M60000008078,,
府省令,令和二年内閣府令第五十七号,国家戦略特別区域法第二十五条の二の内閣府令で定める実証事業等を定める内閣府令,こっかせんりゃくとくべつくいきほうだいにじゅうごじょうのにのないかくふれいでさだめるじっしょうじぎょうとうをさだめるないかくふれい,,令和二年八月三十一日,,,,令和二年九月一日,,502M60000002057,https://elaws.e-gov.go.jp/document?lawid=502M60000002057_20200901_000000000000000,,
政令,平成十七年政令第百五十一号,地域再生法施行令,ちいきさいせいほうせこうれい,,平成十七年四月一日,地域再生法の一部を改正する法律の施行に伴う関係政令の整備に関する政令,令和元年政令第二百五号,令和元年十二月二十五日,令和二年一月五日,,417CO0000000151,https://elaws.e-gov.go.jp/document?lawid=417CO0000000151_20200105_501CO0000000205,,
