法令種別,法令番号,法令名,法令名読み,旧法令名,公布日,改正法令名,改正法令番号,改正法令公布日,施行日,施行日備考,法令ID,本文URL,未施行,所管課確認中
法律,昭和二十一年勅令第百十八号,物価統制令,ぶっかとうせいれい,,昭和二十一年三月三日,平成２７年８月１日（基準日）現在のデータ,,,,,321IO0000000118,https://elaws.e-gov.go.jp/document?lawid=321IO0000000118_20150801_000000000000000,,
法律,昭和二十三年法律第二百号,消費生活協同組合法,しょうひせいかつきょうどうくみあいほう,,昭和二十三年七月三十日,会社法の一部を改正する法律の施行に伴う関係法律の整備等に関する法律,令和元年法律第七十一号,令和元年十二月十一日,令和三年三月一日,,323AC0000000200,https://elaws.e-gov.go.jp/document?lawid=323AC0000000200_20210301_501AC0000000071,,
法律,昭和二十三年法律第二百号,消費生活協同組合法,しょうひせいかつきょうどうくみあいほう,,昭和二十三年七月三十日,会社法の一部を改正する法律の施行に伴う関係法律の整備等に関する法律,令和元年法律第七十一号,令和元年十二月十一日,令和五年六月十日,会社法改正法附則第一条ただし書に規定する規定の施行の日,323AC0000000200,https://elaws.e-gov.go.jp/document?lawid=323AC0000000200_20230610_501AC0000000071,○,
府省令,昭和二十三年大蔵省・法務庁・厚生省・農林省令第一号,消費生活協同組合法施行規則,しょうひせいかつきょうどうくみあいほうせこうきそく,,昭和二十三年九月三十日,消費生活協同組合法施行規則の一部を改正する省令,令和二年厚生労働省令第三十三号,令和二年三月二十四日,令和二年三月二十四日,,323M40000341001,https://elaws.e-gov.go.jp/document?lawid=323M40000341001_20200324_502M60000100033,,
府省令,平成三十年財務省・農林水産省令第三号,食品等の流通の合理化及び取引の適正化に関する法律第七条第一項第二号の農林水産省令・財務省令で定める農林漁業者の組織する法人を定める省令,しょくひんとうのりゅうつうのごうりかおよびとりひきのてきせいかにかんするほうりつだいななじょうだいいっこうだいにごうののうしんすいさんしょうれいざいむしょうれいでさだめるのうりんぎょぎょうしゃのそしきするほうじんをさだめるしょうれい,,平成三十年十月十七日,,,,平成三十年十月二十二日,,430M60000240003,https://elaws.e-gov.go.jp/document?lawid=430M60000240003_20181022_000000000000000,,
府省令,平成三十年財務省・農林水産省・経済産業省令第一号,食品等の流通の合理化及び取引の適正化に関する法律第八条第一項の農林水産省令・経済産業省令・財務省令で定める海外における中小企業者に準ずるもの及び金融機関を定める省令,しょくひんとうのりゅうつうのごうりかおよびとりひきのてきせいかにかんするほうりつだいはちじょうだいいっこうののうりんすいさんしょうれいけいざいさんぎょうしょうれいざいむしょうれいでさだめるかいがいにおけるちゅうしょうきぎょうしゃにじゅんずるものおよびきんゆうきかんをさだめるしょうれい,,平成三十年十月十七日,,,,平成三十年十月二十二日,,430M60000640001,https://elaws.e-gov.go.jp/document?lawid=430M60000640001_20181022_000000000000000,,
府省令,平成十七年農林水産省・経済産業省令第三号,商品先物取引法施行規則,しょうひんさきものとりひきほうせこうきそく,,平成十七年二月二十二日,商品先物取引法施行規則の一部を改正する省令,令和二年農林水産省・経済産業省令第二号,令和二年四月十日,令和二年四月十日,,417M60000600003,https://elaws.e-gov.go.jp/document?lawid=417M60000600003_20200410_502M60000600002,,
政令,昭和二十七年政令第三百十九号,物価統制令施行令,ぶっかとうせいれいせこうれい,,昭和二十七年七月三十一日,平成２７年８月１日（基準日）現在のデータ,,,,,327CO0000000319,https://elaws.e-gov.go.jp/document?lawid=327CO0000000319_20150801_000000000000000,,
府省令,平成十九年内閣府令第十七号,消費者契約法施行規則,しょうひしゃけいやくほうせこうきそく,,平成十九年二月十六日,消費者契約法施行規則及び消費者の財産的被害の集団的な回復のための民事の裁判手続の特例に関する法律施行規則の一部を改正する内閣府令,平成二十九年内閣府令第四十七号,平成二十九年九月二十九日,平成二十九年十月一日,,419M60000002017,https://elaws.e-gov.go.jp/document?lawid=419M60000002017_20171001_429M60000002047,,
政令,昭和三十一年政令第百九十七号,倉庫業法施行令,そうこぎょうほうせこうれい,,昭和三十一年六月二十二日,平成２７年８月１日（基準日）現在のデータ,,,,,331CO0000000197,https://elaws.e-gov.go.jp/document?lawid=331CO0000000197_20150801_000000000000000,,
府省令,昭和三十二年厚生省令第三十八号,公衆浴場入浴料金の統制額の指定等に関する省令,こうしゅうよくじょうにゅうよくりょうきんのとうせいがくのしていとうにかんするしょうれい,,昭和三十二年九月十二日,平成２８年１０月１日（基準日）現在のデータ,,,,,332M50000100038,https://elaws.e-gov.go.jp/document?lawid=332M50000100038_20161001_000000000000000,,
