法令種別,法令番号,法令名,法令名読み,旧法令名,公布日,改正法令名,改正法令番号,改正法令公布日,施行日,施行日備考,法令ID,本文URL,未施行,所管課確認中
府省令,平成十三年外務省令第一号,外務省組織規則,がいむしょうそしききそく,,平成十三年一月六日,外務省組織規則の一部を改正する省令,令和二年外務省令第十号,令和二年七月三十一日,令和二年八月三日,,413M60000020001,https://elaws.e-gov.go.jp/document?lawid=413M60000020001_20200803_502M60000020010,,
府省令,平成十三年財務省令第一号,財務省組織規則,ざいむしょうそしききそく,,平成十三年一月六日,財務省組織規則の一部を改正する省令,令和二年財務省令第六十四号,令和二年九月十八日,令和二年十月一日,,413M60000040001,https://elaws.e-gov.go.jp/document?lawid=413M60000040001_20201001_502M60000040064,,
府省令,平成十三年財務省令第三号,財務省定員規則,ざいむしょうていいんきそく,,平成十三年一月六日,財務省定員規則の一部を改正する省令,令和二年財務省令第十号,令和二年三月三十日,令和二年四月一日,,413M60000040003,https://elaws.e-gov.go.jp/document?lawid=413M60000040003_20200401_502M60000040010,,
府省令,平成十三年文部科学省令第十七号,文部科学省定員規則,もんぶかがくしょうていいんきそく,,平成十三年一月六日,文部科学省定員規則の一部を改正する省令,令和三年文部科学省令第二十号,令和三年三月三十一日,令和三年四月一日,,413M60000080017,https://elaws.e-gov.go.jp/document?lawid=413M60000080017_20210401_503M60000080020,,
府省令,平成十三年農林水産省令第一号,農林水産省組織規則,のうりんすいさんしょうそしききそく,,平成十三年一月六日,農林水産省組織規則の一部を改正する省令,令和二年農林水産省令第四十五号,令和二年六月三十日,令和二年七月一日,,413M60000200001,https://elaws.e-gov.go.jp/document?lawid=413M60000200001_20200701_502M60000200045,,
府省令,平成十三年農林水産省令第二十七号,農林水産省定員規則,のうりんすいさんしょうていいんきそく,,平成十三年一月六日,農林水産省定員規則の一部を改正する省令,令和二年農林水産省令第二十三号,令和二年三月三十日,令和二年四月一日,,413M60000200027,https://elaws.e-gov.go.jp/document?lawid=413M60000200027_20200401_502M60000200023,,
府省令,平成十三年文部科学省令第一号,文部科学省組織規則,もんぶかがくしょうそしききそく,,平成十三年一月六日,文部科学省組織規則の一部を改正する省令,令和三年文部科学省令第二十一号,令和三年三月三十一日,令和三年四月一日,,413M60000080001,https://elaws.e-gov.go.jp/document?lawid=413M60000080001_20210401_503M60000080021,,
府省令,平成十三年文部科学省令第三号,国立教育政策研究所組織規則,こくりつきょういくせいさくけんきゅうしょそしききそく,,平成十三年一月六日,国立教育政策研究所組織規則の一部を改正する省令,令和二年文部科学省令第十四号,令和二年三月三十一日,令和二年四月一日,,413M60000080003,https://elaws.e-gov.go.jp/document?lawid=413M60000080003_20200401_502M60000080014,,
政令,平成三十年政令第二百八十六号,ギャンブル等依存症対策推進本部令,ぎゃんぷるとういぞんしょうたいさくすいしんほんぶれい,,平成三十年十月一日,,,,平成三十年十月五日,,430CO0000000286,https://elaws.e-gov.go.jp/document?lawid=430CO0000000286_20181005_000000000000000,,
法律,昭和二十二年法律第七十三号,会計検査院法,かいけいけんさいんほう,,昭和二十二年四月十九日,行政不服審査法の施行に伴う関係法律の整備等に関する法律,平成二十六年法律第六十九号,平成二十六年六月十三日,平成二十八年四月一日,,322AC0000000073,https://elaws.e-gov.go.jp/document?lawid=322AC0000000073_20160401_426AC0000000069,,
法律,昭和二十二年法律第百九十四号,国の利害に関係のある訴訟についての法務大臣の権限等に関する法律,くにのりがいにかんけいのあるそしょうについてのほうむだいじんのけんげんとうにかんするほうりつ,,昭和二十二年十二月十七日,平成２７年８月１日（基準日）現在のデータ,,,,,322AC0000000194,https://elaws.e-gov.go.jp/document?lawid=322AC0000000194_20150801_000000000000000,,
法律,昭和二十二年法律第五号,内閣法,ないかくほう,,昭和二十二年一月十六日,復興庁設置法等の一部を改正する法律,令和二年法律第四十六号,令和二年六月十二日,令和三年四月一日,,322AC0000000005,https://elaws.e-gov.go.jp/document?lawid=322AC0000000005_20210401_502AC0000000046,,
政令,昭和二十二年政令第五号,宮内庁法施行令,くないちょうほうせこうれい,,昭和二十二年五月三日,平成２７年８月１日（基準日）現在のデータ,,,,,322CO0000000005,https://elaws.e-gov.go.jp/document?lawid=322CO0000000005_20150801_000000000000000,,
府省令,平成十三年経済産業省令第一号,経済産業省組織規則,けいざいさんぎょうしょうそしききそく,,平成十三年一月六日,経済産業省組織規則等の一部を改正する省令,令和二年経済産業省令第一号,令和二年一月七日,令和二年一月七日,,413M60000400001,https://elaws.e-gov.go.jp/document?lawid=413M60000400001_20200107_502M60000400001,,
府省令,平成十三年経済産業省令第四号,経済産業省定員規則,けいざいさんぎょうしょうていいんきそく,,平成十三年一月六日,経済産業省組織規則等の一部を改正する省令,令和二年経済産業省令第一号,令和二年一月七日,令和二年一月七日,,413M60000400004,https://elaws.e-gov.go.jp/document?lawid=413M60000400004_20200107_502M60000400001,,
規則,昭和二十二年会計検査院規則第一号,会計検査院規則の公布に関する規則,かいけいけんさいんきそくのこうふにかんするきそく,,昭和二十二年五月三日,平成２８年１０月１日（基準日）現在のデータ,,,,,322R00000001001,https://elaws.e-gov.go.jp/document?lawid=322R00000001001_20161001_000000000000000,,
府省令,平成三十年内閣府令第三十九号,桂離宮の施設に係る参観料の徴収に関する内閣府令,かつらりきゅうのしせつにかかるさんかんりょうのちょうしゅうにかんするないかくふれい,,平成三十年七月三十一日,,,,平成三十年十一月一日,,430M60000002039,https://elaws.e-gov.go.jp/document?lawid=430M60000002039_20181101_000000000000000,,
法律,昭和二十三年法律第二十八号,海上保安庁法,かいじょうほあんちょうほう,,昭和二十三年四月二十七日,平成２７年８月１日（基準日）現在のデータ,,,,,323AC0000000028,https://elaws.e-gov.go.jp/document?lawid=323AC0000000028_20150801_000000000000000,,
法律,昭和二十三年法律第八十三号,中小企業庁設置法,ちゅうしょうきぎょうちょうせっちほう,,昭和二十三年七月二日,平成２７年８月１日（基準日）現在のデータ,,,,,323AC0000000083,https://elaws.e-gov.go.jp/document?lawid=323AC0000000083_20150801_000000000000000,,
法律,昭和二十三年法律第百二十号,国家行政組織法,こっかぎょうせいそしきほう,,昭和二十三年七月十日,出入国管理及び難民認定法及び法務省設置法の一部を改正する法律,平成三十年法律第百二号,平成三十年十二月十四日,平成三十一年四月一日,,323AC0000000120,https://elaws.e-gov.go.jp/document?lawid=323AC0000000120_20190401_430AC0000000102,,
政令,平成二十八年政令第五十七号,独立行政法人に係る改革を推進するための国土交通省関係法律の整備に関する法律の施行に伴う関係政令の整備及び経過措置に関する政令　抄,どくりつぎょうせいほうじんにかかるかいかくをすいしんするためのこくどこうつうしょうかんけいほうりつのせいびにかんするほうりつのせこうにともなうかんけいせいれいのせいびおよびけいかそちにかんするせいれいしょう,,平成二十八年三月九日,,,,平成二十八年三月九日,,428CO0000000057,https://elaws.e-gov.go.jp/document?lawid=428CO0000000057_20160309_000000000000000,,
政令,昭和二十三年政令第九十六号,海上保安庁法施行令,かいじょうほあんちょうほうせこうれい,,昭和二十三年四月三十日,平成２７年８月１日（基準日）現在のデータ,,,,,323CO0000000096,https://elaws.e-gov.go.jp/document?lawid=323CO0000000096_20150801_000000000000000,,
府省令,平成三十年総務省令第六十一号,国立研究開発法人情報通信研究機構法附則第八条第四項第一号に規定する総務省令で定める基準及び第九条に規定する業務の実施に関する計画に関する省令,こくりつけんきゅうかいはつほうじんじょうほうつうしんけんきゅうきこうほうふそくだいはちじょうだいよんこんだいいちごうにきていするそうむしょうれいでさだめるきじゅんおよびだいきゅうじょうにきていするぎょうむのじっしにかんするけいかくにかんするしょうれい,,平成三十年十一月一日,,,,平成三十年十一月一日,,430M60000008061,https://elaws.e-gov.go.jp/document?lawid=430M60000008061_20181101_000000000000000,,
法律,昭和二十四年法律第百三十九号,人権擁護委員法,じんけんようごいいんほう,,昭和二十四年五月三十一日,平成２７年８月１日（基準日）現在のデータ,,,,,324AC0000000139,https://elaws.e-gov.go.jp/document?lawid=324AC0000000139_20150801_000000000000000,,
政令,昭和二十四年政令第百三十四号,法制審議会令,ほうせいしんぎかいれい,,昭和二十四年五月三十一日,平成２７年８月１日（基準日）現在のデータ,,,,,324CO0000000134,https://elaws.e-gov.go.jp/document?lawid=324CO0000000134_20150801_000000000000000,,
政令,昭和二十四年政令第二百八十一号,日本芸術院令,にほんげいじゅついんれい,,昭和二十四年七月二十三日,平成２７年８月１日（基準日）現在のデータ,,,,,324CO0000000281,https://elaws.e-gov.go.jp/document?lawid=324CO0000000281_20150801_000000000000000,,
府省令,昭和二十四年法務府令第四十号,人権擁護委員協議会、人権擁護委員連合会及び全国人権擁護委員連合会組織規則,じんけんようごいいんきょうぎかい、じんけんようごいいんれんごうかいおよびぜんこくじんけんようごいいんれんごうかいそしききそく,,昭和二十四年八月六日,人権擁護委員協議会、人権擁護委員連合会及び全国人権擁護委員連合会組織規程の一部を改正する省令,令和三年法務省令第六号,令和三年三月十五日,令和三年四月一日,,324M50000001040,https://elaws.e-gov.go.jp/document?lawid=324M50000001040_20210401_503M60000010006,,
