法令種別,法令番号,法令名,法令名読み,旧法令名,公布日,改正法令名,改正法令番号,改正法令公布日,施行日,施行日備考,法令ID,本文URL,未施行,所管課確認中
府省令,平成十二年自治省令第二十号,過疎地域自立促進特別措置法第三十一条の地方税の課税免除又は不均一課税に伴う措置が適用される場合等を定める省令,かそちいきじりつそくしんとくべつそちほうだいさんじゅういちじょうのちほうぜいのかぜいめんじょまたはふきんいつかぜいにともなうそちがてきようされるばあいとうをさだめるしょうれい,,平成十二年三月三十一日,山村振興法第十四条の地方税の不均一課税に伴う措置が適用される場合等を定める省令等の一部を改正する省令,平成三十一年総務省令第四十四号,平成三十一年三月三十日,平成三十一年四月一日,,412M50000008020,https://elaws.e-gov.go.jp/document?lawid=412M50000008020_20190401_431M60000008044,,
府省令,平成三十年内閣府・総務省・財務省令第一号,民間資金等の活用による公共施設等の整備等の促進に関する法律附則第四条第一項に規定する内閣府令・総務省令・財務省令で定める基準等を定める命令,みんかんしきんとうのかつようによるこうきょうしせつとうのせいびとうのそくしんにかんするほうりつふそくだいよんじょうだいいっこうにきていするないかくふれいそうむしょうれいざいむしょうれいでさだめるきじゅんとうをさだめるめいれい,,平成三十年七月三十一日,,,,平成三十年八月一日,,430M6000004a001,https://elaws.e-gov.go.jp/document?lawid=430M6000004a001_20180801_000000000000000,,
府省令,平成三十年内閣府・文部科学省令第一号,特定地域内学部収容定員の抑制等に関する命令,とくていちいきないがくぶしゅうようていいんのよくせいとうにかんするめいれい,,平成三十年九月二十七日,特定地域内学部収容定員の抑制等に関する命令の一部を改正する命令,令和二年内閣府・文部科学省令第一号,令和二年十二月二十五日,令和二年十二月二十五日,,430M60000082001,https://elaws.e-gov.go.jp/document?lawid=430M60000082001_20201225_502M60000082001,,
法律,昭和二十五年法律第二百五号,国土形成計画法,こくどけいせいけいかくほう,,昭和二十五年五月二十六日,平成２７年８月１日（基準日）現在のデータ,,,,,325AC0000000205,https://elaws.e-gov.go.jp/document?lawid=325AC0000000205_20150801_000000000000000,,
法律,昭和二十六年法律第百八十号,国土調査法,こくどちょうさほう,,昭和二十六年六月一日,土地基本法等の一部を改正する法律,令和二年法律第十二号,令和二年三月三十一日,令和二年九月二十九日,,326AC0000000180,https://elaws.e-gov.go.jp/document?lawid=326AC0000000180_20200929_502AC0000000012,,
政令,昭和二十七年政令第五十九号,国土調査法施行令,こくどちょうさほうせこうれい,,昭和二十七年三月三十一日,国土調査法施行令等の一部を改正する政令,令和二年政令第百八十三号,令和二年六月十二日,令和二年九月二十九日,,327CO0000000059,https://elaws.e-gov.go.jp/document?lawid=327CO0000000059_20200929_502CO0000000183,,
法律,昭和二十八年法律第七十二号,離島振興法,りとうしんこうほう,,昭和二十八年七月二十二日,学校教育法等の一部を改正する法律,平成二十七年法律第四十六号,平成二十七年六月二十四日,平成二十八年四月一日,,328AC1000000072,https://elaws.e-gov.go.jp/document?lawid=328AC1000000072_20160401_427AC0000000046,,
法律,昭和二十八年法律第七十二号,離島振興法,りとうしんこうほう,,昭和二十八年七月二十二日,,,昭和二十八年七月二十二日,令和五年三月三十一日,,328AC1000000072,https://elaws.e-gov.go.jp/document?lawid=328AC1000000072_20230331_000000000000000,○,
府省令,昭和二十八年総理府令第三十五号,水基本調査作業規程準則,みずきほんちょうささぎょうきていじゅんそく,,昭和二十八年七月十八日,平成２８年１０月１日（基準日）現在のデータ,,,,,328M50000002035,https://elaws.e-gov.go.jp/document?lawid=328M50000002035_20161001_000000000000000,,
府省令,昭和二十八年総理府令第四十二号,水基本調査基礎計画,みずきほんちょうさきそけいかく,,昭和二十八年八月十日,平成２８年１０月１日（基準日）現在のデータ,,,,,328M50000002042,https://elaws.e-gov.go.jp/document?lawid=328M50000002042_20161001_000000000000000,,
府省令,昭和二十九年総理府令第三十一号,土地分類基本調査基礎計画,とちぶんるいきほんちょうさきそけいかく,,昭和二十九年六月三日,基準点測量基礎計画等の一部を改正する省令,令和二年国土交通省令第五十一号,令和二年五月二十七日,令和二年五月二十七日,,329M50000002031,https://elaws.e-gov.go.jp/document?lawid=329M50000002031_20200527_502M60000800051,,
府省令,昭和二十九年総理府令第五十号,地形調査作業規程準則,ちけいちょうささぎょうきていじゅんそく,,昭和二十九年七月二日,平成２８年１０月１日（基準日）現在のデータ,,,,,329M50000002050,https://elaws.e-gov.go.jp/document?lawid=329M50000002050_20161001_000000000000000,,
府省令,昭和二十九年総理府令第六十五号,表層地質調査作業規程準則,ひょうそうちしつちょうささぎょうきていじゅんそく,,昭和二十九年八月二十一日,平成２８年１０月１日（基準日）現在のデータ,,,,,329M50000002065,https://elaws.e-gov.go.jp/document?lawid=329M50000002065_20161001_000000000000000,,
府省令,昭和二十九年総理府令第七十五号,水位及び流量調査作業規程準則,すいいおよびりゅうりょうちょうささぎょうきていじゅんそく,,昭和二十九年十月九日,水害予防組合法による予算調製の式及び費目流用その他財務に関する件等の一部を改正する省令,令和元年国土交通省令第一号,令和元年五月七日,令和元年五月七日,,329M50000002075,https://elaws.e-gov.go.jp/document?lawid=329M50000002075_20190507_501M60000800001,,
府省令,昭和二十九年総理府令第八十六号,降水量調査作業規程準則,こうすいりょうちょうささぎょうきていじゅんそく,,昭和二十九年十二月十日,平成２８年１０月１日（基準日）現在のデータ,,,,,329M50000002086,https://elaws.e-gov.go.jp/document?lawid=329M50000002086_20161001_000000000000000,,
府省令,昭和三十年総理府令第三号,土じよう調査作業規程準則,どじょうちょうささぎょうきていじゅんそく,,昭和三十年一月二十九日,平成２８年１０月１日（基準日）現在のデータ,,,,,330M50000002003,https://elaws.e-gov.go.jp/document?lawid=330M50000002003_20161001_000000000000000,,
府省令,昭和三十二年総理府令第十四号,水質調査作業規程準則,すいしつちょうささぎょうきていじゅんそく,,昭和三十二年三月二十七日,平成２８年１０月１日（基準日）現在のデータ,,,,,332M50000002014,https://elaws.e-gov.go.jp/document?lawid=332M50000002014_20161001_000000000000000,,
府省令,昭和三十二年総理府令第三十五号,地籍調査に関する事業計画の様式等を定める省令,ちせきちょうさにかんするじぎょうけいかくのようしきとうをさだめるしょうれい,,昭和三十二年六月十二日,土地基本法等の一部を改正する法律等の施行に伴う国土交通省関係省令の整備等に関する省令,令和二年国土交通省令第三十七号,令和二年三月三十一日,令和二年四月一日,,332M50000002035,https://elaws.e-gov.go.jp/document?lawid=332M50000002035_20200401_502M60000800037,○,
府省令,昭和三十二年総理府令第七十一号,地籍調査作業規程準則,ちせきちょうささぎょうきていじゅんそく,,昭和三十二年十月二十四日,国土調査法施行規則等の一部を改正する省令,令和二年国土交通省令第七十九号,令和二年九月二十九日,令和二年九月二十九日,,332M50000002071,https://elaws.e-gov.go.jp/document?lawid=332M50000002071_20200929_502M60000800079,,
府省令,昭和三十四年総理府令第五十八号,地下水調査作業規程準則,ちかすいちょうささぎょうきていじゅんそく,,昭和三十四年十月二十三日,水害予防組合法による予算調製の式及び費目流用その他財務に関する件等の一部を改正する省令,令和元年国土交通省令第一号,令和元年五月七日,令和元年五月七日,,334M50000002058,https://elaws.e-gov.go.jp/document?lawid=334M50000002058_20190507_501M60000800001,,
