法令種別,法令番号,法令名,法令名読み,旧法令名,公布日,改正法令名,改正法令番号,改正法令公布日,施行日,施行日備考,法令ID,本文URL,未施行,所管課確認中
勅令,昭和十九年勅令第七十六号,官吏功労表彰令,かんりこうろうひょうしょうれい,,昭和十九年二月十五日,平成２７年８月１日（基準日）現在のデータ,,,,,319IO0000000076,https://elaws.e-gov.go.jp/document?lawid=319IO0000000076_20150801_000000000000000,,
府省令,昭和十九年閣令第九号,官吏功労表彰令施行規則,かんりこうろうひょうしょうれいせこうきそく,,昭和十九年二月十五日,平成２８年１０月１日（基準日）現在のデータ,,,,,319M20000001009,https://elaws.e-gov.go.jp/document?lawid=319M20000001009_20161001_000000000000000,,
法律,昭和二十二年法律第百二十号,国家公務員法,こっかこうむいんほう,,昭和二十二年十月二十一日,成年被後見人等の権利の制限に係る措置の適正化等を図るための関係法律の整備に関する法律,令和元年法律第三十七号,令和元年六月十四日,令和元年九月十四日,,322AC0000000120,https://elaws.e-gov.go.jp/document?lawid=322AC0000000120_20190914_501AC0000000037,,
府省令,昭和二十二年総理庁・商工省令第三号,経済産業省職員受託出張規則,けいざいさんぎょうしょうしょくいんじゅたくしゅっちょうきそく,,昭和二十二年八月八日,平成２８年１０月１日（基準日）現在のデータ,,,,,322M40010002003,https://elaws.e-gov.go.jp/document?lawid=322M40010002003_20161001_000000000000000,,
法律,大正十年法律第百二号,大正十年法律第百二号（定年ニ因ル退職判事検察官ノ恩給ニ関スル法律）,ていねんによるたいしょくはんじけんさつかんのおんきゅうにかんするほうりつ,,大正十年五月十八日,平成２７年８月１日（基準日）現在のデータ,,,,,210AC0000000102,https://elaws.e-gov.go.jp/document?lawid=210AC0000000102_20150801_000000000000000,,
法律,昭和二十三年政令第三百六号,沖縄関係事務整理に伴う恩給の特別措置に関する政令,おきなわかんけいじむせいりにともなうおんきゅうのとくべつそちにかんするせいれい,,昭和二十三年九月三十日,平成２７年８月１日（基準日）現在のデータ,,,,,323CO0000000306,https://elaws.e-gov.go.jp/document?lawid=323CO0000000306_20150801_000000000000000,,
法律,昭和二十四年法律第百十七号,国家公務員宿舎法,こっかこうむいんしゅくしゃほう,,昭和二十四年五月三十日,平成２７年８月１日（基準日）現在のデータ,,,,,324AC0000000117,https://elaws.e-gov.go.jp/document?lawid=324AC0000000117_20150801_000000000000000,,
法律,昭和二十四年法律第二百号,国家公務員の寒冷地手当に関する法律,こっかこうむいんのかんれいちてあてにかんするほうりつ,,昭和二十四年六月八日,平成２７年８月１日（基準日）現在のデータ,,,,,324AC0000000200,https://elaws.e-gov.go.jp/document?lawid=324AC0000000200_20150801_000000000000000,,
法律,昭和二十四年法律第二百五十二号,特別職の職員の給与に関する法律,とくべつしょくのしょくいんのきゅうよにかんするほうりつ,,昭和二十四年十二月十二日,特別職の職員の給与に関する法律の一部を改正する法律,令和二年法律第六十六号,令和二年十一月三十日,令和三年四月一日,,324AC0000000252,https://elaws.e-gov.go.jp/document?lawid=324AC0000000252_20210401_502AC0000000066,,
法律,昭和二十四年法律第二百七十一号,人事官弾劾の訴追に関する法律,じんじかんだんがいのそついにかんするほうりつ,,昭和二十四年十二月十六日,平成２７年８月１日（基準日）現在のデータ,,,,,324AC1000000271,https://elaws.e-gov.go.jp/document?lawid=324AC1000000271_20150801_000000000000000,,
府省令,平成十三年人事院規則一―三四,人事院規則一―三四（人事管理文書の保存期間）,じんじいんきそくいちのさんじゅうよんじんじかんりぶんしょのほぞんきかん,,平成十三年一月十九日,人事院規則九―五四（住居手当）の一部を改正する人事院規則,令和三年人事院規則九―五四―九,令和三年四月一日,令和三年四月二日,,413RJNJ01034000,https://elaws.e-gov.go.jp/document?lawid=413RJNJ01034000_20210402_503RJNJ09054009,,
法律,昭和二十五年法律第百十四号,国家公務員等の旅費に関する法律,こっかこうむいんとうのりょひにかんするほうりつ,,昭和二十五年四月三十日,情報通信技術の活用による行政手続等に係る関係者の利便性の向上並びに行政運営の簡素化及び効率化を図るための行政手続等における情報通信の技術の利用に関する法律等の一部を改正する法律,令和元年法律第十六号,令和元年五月三十一日,令和元年十二月十六日,,325AC0000000114,https://elaws.e-gov.go.jp/document?lawid=325AC0000000114_20191216_501AC0000000016,,
規則,平成三十年人事院規則九―一四五,人事院規則九―一四五（平成三十年改正法附則第二条の規定による最高の号俸を超える俸給月額を受ける特定任期付職員の俸給月額の切替え）,じんじいんきそくきゅうのひゃくよんじゅうごへいせいさんじゅうねんかいせいほうふそくだいにじょうのきていによるさいこうのごうほうをこえるほうきゅうげつがくをうけるとくていにんきつきしょくいんのほうきゅうげつがくのきりかえ,,平成三十年十一月三十日,人事院規則一―四（現行の法律、命令及び規則の廃止）の一部を改正する人事院規則,平成三十一年人事院規則一―四―二八,平成三十一年四月一日,平成三十一年四月一日,,430RJNJ09145000,https://elaws.e-gov.go.jp/document?lawid=430RJNJ09145000_20190401_431RJNJ01004028,○,
府省令,昭和二十五年大蔵省令第四十五号,国家公務員等の旅費支給規程,こっかこうむいんとうのりょひしきゅうきてい,,昭和二十五年五月一日,国家公務員等の旅費支給規程の一部を改正する省令,令和二年財務省令第九十一号,令和二年十二月二十五日,令和二年十二月二十五日,,325M50000040045,https://elaws.e-gov.go.jp/document?lawid=325M50000040045_20201225_502M60000040091,,
府省令,昭和二十五年大蔵省令第九十八号,逓信省共済組合に属する権利義務の承継に関する省令,ていしんしょうきょうさいくみあいにぞくするけんりぎむのしょうけいにかんするしょうれい,,昭和二十五年九月十二日,平成２８年１０月１日（基準日）現在のデータ,,,,,325M50000040098,https://elaws.e-gov.go.jp/document?lawid=325M50000040098_20161001_000000000000000,,
府省令,昭和二十五年農林省令第八十号,森林管理局署職員服制,しんりんかんりきょくしょしょくいんふくせい,,昭和二十五年七月六日,平成２８年１０月１日（基準日）現在のデータ,,,,,325M50010000080,https://elaws.e-gov.go.jp/document?lawid=325M50010000080_20161001_000000000000000,,
法律,昭和二十六年法律第三十三号,国家公務員共済組合法の規定による年金の額の改定に関する法律,こっかこうむいんきょうさいくみあいほうのきていによるねんきんのがくのかいていにかんするほうりつ,,昭和二十六年三月二十四日,平成２７年８月１日（基準日）現在のデータ,,,,,326AC0000000033,https://elaws.e-gov.go.jp/document?lawid=326AC0000000033_20150801_000000000000000,,
法律,昭和二十六年法律第三百七号,旧令による共済組合等からの年金受給者のための特別措置法の規定による年金の額の改定に関する法律,きゅうれいによるきょうさいくみあいとうからのねんきんじゅきゅうしゃのためのとくべつそちほうのきていによるねんきんのがくのかいていにかんするほうりつ,,昭和二十六年十二月十五日,平成２７年８月１日（基準日）現在のデータ,,,,,326AC0000000307,https://elaws.e-gov.go.jp/document?lawid=326AC0000000307_20150801_000000000000000,,
法律,昭和二十六年法律第三百八号,昭和二十六年度における給与の改訂に伴う国家公務員共済組合法の規定による年金の額の改定に関する法律,しょうわにじゅうろくねんどにおけるきゅうよのかいていにともなうこっかこうむいんきょうさいくみあいほうのきていによるねんきんのがくのかいていにかんするほうりつ,,昭和二十六年十二月十五日,平成２７年８月１日（基準日）現在のデータ,,,,,326AC0000000308,https://elaws.e-gov.go.jp/document?lawid=326AC0000000308_20150801_000000000000000,,
府省令,昭和二十六年大蔵省令第四号,旧令による共済組合等からの年金受給者のための特別措置法第四条第三項の規定に基く附属の島を定める省令,きゅうれいによるきょうさいくみあいとうからのねんきんじゅきゅうしゃのためのとくべつそちほうだいよんじょうだいさんこうのきていにもとづくふぞくのしまをさだめるしょうれい,,昭和二十六年二月十三日,平成２８年１０月１日（基準日）現在のデータ,,,,,326M50000040004,https://elaws.e-gov.go.jp/document?lawid=326M50000040004_20161001_000000000000000,,
法律,昭和二十七年法律第四十一号,外務公務員法,がいむこうむいんほう,,昭和二十七年三月三十一日,行政不服審査法の施行に伴う関係法律の整備等に関する法律,平成二十六年法律第六十九号,平成二十六年六月十三日,平成二十八年四月一日,,327AC0000000041,https://elaws.e-gov.go.jp/document?lawid=327AC0000000041_20160401_426AC0000000069,,
法律,昭和二十七年法律第七十九号,教職員の除去、就職禁止等に関する政令を廃止する法律,きょうしょくいんのじょきょ、しゅうしょくきんしとうにかんするせいれいをはいしするほうりつ,,昭和二十七年四月九日,平成２７年８月１日（基準日）現在のデータ,,,,,327AC0000000079,https://elaws.e-gov.go.jp/document?lawid=327AC0000000079_20150801_000000000000000,,
法律,昭和二十七年法律第九十四号,公職に関する就職禁止、退職等に関する勅令等の廃止に関する法律,こうしょくにかんするしゅうしょくきんし、たいしょくとうにかんするちょくれいとうのはいしにかんするほうりつ,,昭和二十七年四月二十一日,平成２７年８月１日（基準日）現在のデータ,,,,,327AC0000000094,https://elaws.e-gov.go.jp/document?lawid=327AC0000000094_20150801_000000000000000,,
法律,昭和二十七年法律第百十七号,公務員等の懲戒免除等に関する法律,こうむいんとうのちょうかいめんじょとうにかんするほうりつ,,昭和二十七年四月二十八日,行政不服審査法の施行に伴う関係法律の整備等に関する法律,平成二十六年法律第六十九号,平成二十六年六月十三日,平成二十八年四月一日,,327AC0000000117,https://elaws.e-gov.go.jp/document?lawid=327AC0000000117_20160401_426AC0000000069,,
法律,昭和二十七年法律第二百四十四号,昭和二十三年六月三十日以前に給与事由の生じた恩給の特別措置に関する法律,しょうわにじゅうさんねんろくがつさんじゅうにちいぜんにきゅうよじゆうのしょうじたおんきゅうのとくべつそちにかんするほうりつ,,昭和二十七年七月二十三日,平成２７年８月１日（基準日）現在のデータ,,,,,327AC1000000244,https://elaws.e-gov.go.jp/document?lawid=327AC1000000244_20150801_000000000000000,,
政令,昭和二十七年政令第百一号,外務人事審議会令,がいむじんじしんぎかいれい,,昭和二十七年四月十日,平成２７年８月１日（基準日）現在のデータ,,,,,327CO0000000101,https://elaws.e-gov.go.jp/document?lawid=327CO0000000101_20150801_000000000000000,,
政令,昭和二十七年政令第百三十号,日本国との平和条約の効力発生に伴う国家公務員等の懲戒免除に関する政令,にほんこくとのへいわじょうやくのこうりょくはっせいにともなうこっかこうむいんとうのちょうかいめんじょにかんするせいれい,,昭和二十七年四月二十八日,平成２７年８月１日（基準日）現在のデータ,,,,,327CO0000000130,https://elaws.e-gov.go.jp/document?lawid=327CO0000000130_20150801_000000000000000,,
政令,昭和二十七年政令第百三十一号,日本国との平和条約の効力発生に伴う予算執行職員等の弁償責任の減免に関する政令,にほんこくとのへいわじょうやくのこうりょくはっせいにともなうよさんしっこうしょくいんとうのべんしょうせきにんのげんめんにかんするせいれい,,昭和二十七年四月二十八日,平成２７年８月１日（基準日）現在のデータ,,,,,327CO0000000131,https://elaws.e-gov.go.jp/document?lawid=327CO0000000131_20150801_000000000000000,,
政令,昭和二十七年政令第百三十八号,鹿児島県大島郡十島村に関する恩給法の適用及びこれに伴う経過措置に関する政令　抄,かごしまけんおおしまぐんじゅうしまむらにかんするおんきゅうほうのてきようおよびこれにともなうけいかそちにかんするせいれい　しょう,,昭和二十七年五月九日,平成２７年８月１日（基準日）現在のデータ,,,,,327CO0000000138,https://elaws.e-gov.go.jp/document?lawid=327CO0000000138_20150801_000000000000000,,
政令,昭和二十七年政令第百七十一号,公職に関する就職禁止、退職等に関する勅令等の廃止に関する法律及び教職員の除去、就職禁止等に関する政令を廃止する法律の規定に基き取得する恩給、年金等を受ける権利又は資格に関する政令,こうしょくにかんするしゅうしょくきんし、たいしょくとうにかんするちょくれいとうのはいしにかんするほうりつおよびきょうしょくいんのじょきょ、しゅうしょくきんしとうにかんするせいれいをはいしするほうりつのきていにもとづきしゅとくするおんきゅう、ねんきんとうをうけるけんりまたはしかくにかんするせいれい,,昭和二十七年六月三日,平成２７年８月１日（基準日）現在のデータ,,,,,327CO0000000171,https://elaws.e-gov.go.jp/document?lawid=327CO0000000171_20150801_000000000000000,,
政令,昭和二十七年政令第二百二十号,鹿児島県大島郡十島村に関する国家公務員共済組合法等の適用及びこれに伴う経過措置に関する政令,かごしまけんおおしまぐんじゅうしまむらにかんするこっかこうむいんきょうさいくみあいほうとうのてきようおよびこれにともなうけいかそちにかんするせいれい,,昭和二十七年七月一日,平成２７年８月１日（基準日）現在のデータ,,,,,327CO0000000220,https://elaws.e-gov.go.jp/document?lawid=327CO0000000220_20150801_000000000000000,,
政令,昭和二十七年政令第四百二十八号,在外公館に勤務する外務公務員の特殊語学手当に関する政令,ざいがいこうかんにきんむするがいむこうむいんのとくしゅごがくてあてにかんするせいれい,,昭和二十七年十月一日,平成２７年８月１日（基準日）現在のデータ,,,,,327CO0000000428,https://elaws.e-gov.go.jp/document?lawid=327CO0000000428_20150801_000000000000000,,
政令,昭和二十七年政令第四百七十三号,外務公務員法施行令,がいむこうむいんほうせこうれい,,昭和二十七年十二月一日,外務公務員法施行令の一部を改正する政令,令和二年政令第三百七十七号,令和二年十二月二十四日,令和三年一月一日,,327CO0000000473,https://elaws.e-gov.go.jp/document?lawid=327CO0000000473_20210101_502CO0000000377,,
府省令,昭和二十七年外務省令第六号,外務省本省に勤務する外務職員の範囲を定める省令,がいむしょうほんしょうにきんむするがいむしょくいんのはんいをさだめるしょうれい,,昭和二十七年四月二十二日,平成２８年１０月１日（基準日）現在のデータ,,,,,327M50000020006,https://elaws.e-gov.go.jp/document?lawid=327M50000020006_20161001_000000000000000,,
府省令,昭和二十七年外務省令第七号,外務職員の公の名称に関する省令,がいむしょくいんのこうのめいしょうにかんするしょうれい　　　　,,昭和二十七年四月二十二日,平成２８年１０月１日（基準日）現在のデータ,,,,,327M50000020007,https://elaws.e-gov.go.jp/document?lawid=327M50000020007_20161001_000000000000000,,
府省令,昭和二十七年外務省令第十三号,調査報告に関する規則,ちょうさほうこくにかんするきそく,,昭和二十七年五月十日,平成２８年１０月１日（基準日）現在のデータ,,,,,327M50000020013,https://elaws.e-gov.go.jp/document?lawid=327M50000020013_20161001_000000000000000,,
府省令,昭和二十七年外務省令第二十一号,査察使に関する省令,ささつしにかんするしょうれい,,昭和二十七年八月十六日,平成２８年１０月１日（基準日）現在のデータ,,,,,327M50000020021,https://elaws.e-gov.go.jp/document?lawid=327M50000020021_20161001_000000000000000,,
府省令,昭和二十七年厚生省令第四十四号,検疫所長等服制,けんえきしょちょうとうふくせい,,昭和二十七年十一月一日,平成２８年１０月１日（基準日）現在のデータ,,,,,327M50000100044,https://elaws.e-gov.go.jp/document?lawid=327M50000100044_20161001_000000000000000,,
府省令,平成十八年人事院規則一〇―一二,人事院規則一〇―一二（職員の留学費用の償還）,じんじいんきそくじゅうのじゅうにしょくいんのりゅうがくひようのしょうかん,,平成十八年六月十四日,平成三十二年東京オリンピック競技大会・東京パラリンピック競技大会特別措置法等の一部を改正する法律の施行に伴う関係人事院規則の整理に関する人事院規則,令和二年人事院規則一―七六,令和二年十二月二十八日,令和二年十二月二十八日,,418RJNJ10012000,https://elaws.e-gov.go.jp/document?lawid=418RJNJ10012000_20201228_502RJNJ01076000,,
